Pablo;pabl.0o;帕布罗[pà bù luō],帕布羅[pà bù luō]
pego;peg.0o.pegedano;䴕[liè],鴷[liè]
pego;peg.0o.pegedano;鴷[liè]
pegoformaj;peg.0oformaj;鴷形目[liè xíng mù]
buntpego;peg.bunt0o;大斑啄木鳥[dà bān zhuó mù niǎo],大斑啄木鸟[dà bān zhuó mù niǎo]
trifingra buntpego;;三趾啄木鳥[sān zhǐ zhuó mù niǎo],三趾啄木鸟[sān zhǐ zhuó mù niǎo]
pegedoj;peged.0oj;啄木鳥科[zhuó mù niǎo kē],啄木鸟科[zhuó mù niǎo kē]
pejzaĝisto;;园艺师[yuán yì shī],園藝師[yuán yì shī]
pejzaĝisto;;風景畫家[fēng jǐng huà jiā],风景画家[fēng jǐng huà jiā]
pejzaĝo;pejzag.0o;山川[shān chuān]
pejzaĝo;pejzag.0o;風光[fēng guāng],风光[fēng guāng]
pejzaĝo;pejzag.0o;風景[fēng jǐng],风景[fēng jǐng]
pejzaĝo;pejzag.0o;山水[shān shuǐ]
pejzaĝo;pejzag.0o;景觀[jǐng guān],景观[jǐng guān]
pejzaĝo;pejzag.0o;山水画[shān shuǐ huà],山水畫[shān shuǐ huà]
pejzaĝo;pejzag.0o;地景[dì jǐng]
pejzaĝo;pejzag.0o;景色[jǐng sè]
pekema;pek.0ema.REL;罪恶[zuì è],罪惡[zuì è]
peki;pek.0i.REL;作孽[zuò niè]
pekliberigi;pek.0liberigi;宽恕[kuān shù],寬恕[kuān shù]
pekliberigi;pek.0liberigi;赦免[shè miǎn]
peko;pek.0o;罪恶[zuì è],罪惡[zuì è]
peko;pek.0o;罪愆[zuì qiān]
peko;pek.0o;罪孽[zuì niè]
peko;pek.0o;孽[niè]
peko;pek.0o;罪[zuì]
peko;pek.0o;罪过[zuì guo],罪過[zuì guo]
pekulo;pek.0ulo;罪人[zuì rén]
pekulo;pek.0ulo;罪恶[zuì è],罪惡[zuì è]
pekulo;pek.0ulo;坏事[huài shì],壞事[huài shì]
pekulo;pek.0ulo;违法者[wéi fǎ zhě],違法者[wéi fǎ zhě]
pekulo;pek.0ulo;做坏事的人[zuò huài shì de rén],做壞事的人[zuò huài shì de rén]
pekulo;pek.0ulo;罪[zuì]
pekulo;pek.0ulo;酗酒者[xù jiǔ zhě]
prapeko;pek.pra0o;原罪[yuán zuì]
senpeka;pek.sen0a;无瑕[wú xiá],無瑕[wú xiá]
senpeka;pek.sen0a;无罪[wú zuì],無罪[wú zuì]
senpeka;pek.sen0a;冰清玉洁[bīng qīng yù jié],冰清玉潔[bīng qīng yù jié]
senpeka;pek.sen0a;未醒[wèi xǐng]
senpeka;pek.sen0a;无知[wú zhī],無知[wú zhī]
senpeka;pek.sen0a;童貞[tóng zhēn],童贞[tóng zhēn]
senpeka;;純潔[chún jié],纯洁[chún jié]
peklaĵo;pekl.0ajxo;腌[yān],醃[yān]
peklaĵo;pekl.0ajxo;咸肉[xián ròu],鹹肉[xián ròu]
peklaĵo;pekl.0ajxo;腌黄瓜[yān huáng guā],醃黃瓜[yān huáng guā]
pekli;pekl.0i;鹺[cuó],鹾[cuó]
pekli;pekl.0i;腌制[yān zhì],醃制[yān zhì]
peklaĵo;;咸菜[xián cài],鹹菜[xián cài]
peli;pel.0i.PSI;围猎[wéi liè],圍獵[wéi liè]
peli;pel.0i.PSI;从事于[cóng shì yú],從事於[cóng shì yú]
pelilo;pel.0ilo.KOMP;驅動程序[qū dòng chéng xù],驱动程序[qū dòng chéng xù]
pelilo;pel.0ilo.KOMP;驅動器[qū dòng qì],驱动器[qū dòng qì]
pelisto;pel.0isto;传动齿轮[chuán dòng chǐ lún],傳動齒輪[chuán dòng chǐ lún]
dispeli;pel.dis0i;驅散[qū sàn],驱散[qū sàn]
dispeli;pel.dis0i;肸[xì]
dispeli;pel.dis0i;离散[lí sàn],離散[lí sàn]
dispeliĝi;pel.dis0igxi;肸[xì]
dispeliĝi;pel.dis0igxi;乱窜[luàn cuàn],亂竄[luàn cuàn]
elpeli;pel.el0i;被驅逐[bèi qū zhú],被驱逐[bèi qū zhú]
elpeli;pel.el0i;赶出[gǎn chū],趕出[gǎn chū]
elpeli;pel.el0i;逼离[bī lí],逼離[bī lí]
forpeli;pel.for0i;赶出[gǎn chū],趕出[gǎn chū]
forpeli;pel.for0i;驅趕[qū gǎn],驱赶[qū gǎn]
forpeli;pel.for0i;赶[gǎn],趕[gǎn]
iele-trapele;pel.ieletra0e;企图蒙混过关[qǐ tú méng hùn guò guān],企圖蒙混過關[qǐ tú méng hùn guò guān]
repeli;pel.re0i;搡[sǎng]
repeli;pel.re0i;排挤[pái jǐ],排擠[pái jǐ]
repeli;pel.re0i;击退[jī tuì],擊退[jī tuì]
sin peli;pel.sin0i;抓紧时间[zhuā jǐn shí jiān],抓緊時間[zhuā jǐn shí jiān]
sin peli;pel.sin0i;赶紧[gǎn jǐn],趕緊[gǎn jǐn]
sin peli;pel.sin0i;赶赴[gǎn fù],趕赴[gǎn fù]
sin peli;pel.sin0i;奔赴[bēn fù]
pelagro;pelagr.0o;糙皮病[cāo pí bìng]
pelerino;peleri.0o;披肩[pī jiān]
pelikano;pelika.0o;鵜鶘[tí hú],鹈鹕[tí hú]
pelikano;pelika.0o;淘河[táo hé]
pelikano;pelika.0o;鶘[hú],鹕[hú]
pelikano;pelika.0o;鶦[hú]
pelikanoformaj;pelika.0oformaj;鵜形目[tí xíng mù],鹈形目[tí xíng mù]
pelikanedoj;pelika1.0oj;鵜鶘屬[tí hú shǔ],鹈鹕属[tí hú shǔ]
pelmelo;pelmel.0o.KOMUNE;杂乱[zá luàn],雜亂[zá luàn]
pelmelo;pelmel.0o.KOMUNE;繽[bīn],缤[bīn]
Peloponezo;peloponez.0o;伯罗奔尼撒[Bó luó bēn ní sā],伯羅奔尼撒[Bó luó bēn ní sā]
peltaĵo;pelt.0ajxo;皮毛[pí máo]
peltaĵo;pelt.0ajxo;皮草[pí cǎo]
pelto;pelt.0o;毛皮[máo pí]
pelto;pelt.0o;裘[qiú]
pelvo;pelv.0o.ANA;髋[kuān],髖[kuān]
pelvo;pelv.0o.ANA;骨盆[gǔ pén]
pelvo;pelv.0o.ANA;池[chí]
pelvo;pelv.0o.ANA;蓄水池[xù shuǐ chí]
pelvo;pelv.0o.ANA;骨盘[gǔ pán],骨盤[gǔ pán]
pelvo;pelv.0o.ANA;盆[pén]
pelvo;pelv.0o.ANA;水盆[shuǐ pén]
lavopelvo;pelv.lavo0o;脸盆[liǎn pén],臉盆[liǎn pén]
lavopelvo;pelv.lavo0o;洗脸盆[xǐ liǎn pén],洗臉盆[xǐ liǎn pén]
lavopelvo;pelv.lavo0o;洗涤槽[xǐ dí cáo],洗滌槽[xǐ dí cáo]
penegi;pen.0egi;竭尽全力[jié jìn quán lì],竭盡全力[jié jìn quán lì]
penegi;pen.0egi;力求[lì qiú]
penegi;pen.0egi;使劲儿[shǐ jìn r],使勁兒[shǐ jìn r]
penego;pen.0ego;心血[xīn xuè]
penema;pen.0ema;勤劳[qín láo],勤勞[qín láo]
penema;pen.0ema;勤快[qín kuài]
penema;pen.0ema;刻苦[kè kǔ]
penema;pen.0ema;勤力[qín lì]
peni;pen.0i;勉[miǎn]
peni;pen.0i;力争[lì zhēng],力爭[lì zhēng]
peni;pen.0i;强[qiǎng],彊[qiǎng]
peni;pen.0i;争取[zhēng qǔ],爭取[zhēng qǔ]
peni;pen.0i;致力[zhì lì]
peni;pen.0i;使劲儿[shǐ jìn r],使勁兒[shǐ jìn r]
peniga;pen.0iga;辛苦[xīn kǔ]
peniga;pen.0iga;繁重[fán zhòng]
peniga;pen.0iga;艰苦[jiān kǔ],艱苦[jiān kǔ]
peniga;pen.0iga;吃力[chī lì]
peniga;pen.0iga;艰巨[jiān jù],艱巨[jiān jù]
peniga;pen.0iga;恼人[nǎo rén],惱人[nǎo rén]
peniga;pen.0iga;浩繁[hào fán]
peniga;pen.0iga;費力地[fèi lì de],费力地[fèi lì de]
peniga;pen.0iga;使疲劳[shǐ pí láo],使疲勞[shǐ pí láo]
peniga;pen.0iga;竭力做[jié lì zuò]
peno;pen.0o;心血[xīn xuè]
peno;pen.0o;功夫[gōng fu]
peno;pen.0o;困难[kùn nan],困難[kùn nan]
peno;pen.0o;艰难[jiān nán],艱難[jiān nán]
peno;pen.0o;工夫[gōng fū]
malpenema;pen.ne0ema;懒散[lǎn sǎn],懶散[lǎn sǎn]
malpenema;pen.ne0ema;蔫[niān]
malpenema;pen.ne0ema;怠惰[dài duò]
malpenema;pen.ne0ema;慢轉[màn zhuǎn],慢转[màn zhuǎn]
malpenema;pen.ne0ema;澶[dàn]
senpene;pen.sen0e;輕易完成[qīng yì wán chéng],轻易完成[qīng yì wán chéng]
senpene;pen.sen0e;不費吹灰之力[bù fèi chuī huī zhī lì],不费吹灰之力[bù fèi chuī huī zhī lì]
senpene;pen.sen0e;毫不費力[háo bù fèi lì],毫不费力[háo bù fèi lì]
valori la penon;pen.valorila0on;值得[zhí de]
penco;penc.0o;便士[biàn shì]
penco;penc.0o;本士[běn shì]
pendi;pend.0i;挂着[guà zhuó],掛著[guà zhuó]
pendi;pend.0i;亸[duǒ],嚲[duǒ]
pendi;pend.0i;門樞[mén shū],门枢[mén shū]
pendigi;pend.0igi;吊[diào],弔[diào]
pendigi;pend.0igi;挂[guà],掛[guà]
pendigi;pend.0igi;悬[xuán],懸[xuán]
pendigi;pend.0igi;悬挂[xuán guà],懸掛[xuán guà]
pendigilo;pend.0igilo;絞架[jiǎo jià],绞架[jiǎo jià]
pendigilo;pend.0igilo;吊裤带[diào kù dài],弔褲帶[diào kù dài]
pendigilo;pend.0igilo;挂架[guà jià],掛架[guà jià]
pendigilo;pend.0igilo;絞刑架[jiǎo xíng jià],绞刑架[jiǎo xíng jià]
pendumi;pend.0umi;吊[diào],弔[diào]
pendumi;pend.0umi;挂[guà],掛[guà]
pendumi;pend.0umi;絞死[jiǎo sǐ],绞死[jiǎo sǐ]
pendumilo;pend.0umilo;絞架[jiǎo jià],绞架[jiǎo jià]
pendumilo;pend.0umilo;吊裤带[diào kù dài],弔褲帶[diào kù dài]
pendumilo;pend.0umilo;挂架[guà jià],掛架[guà jià]
pendumilo;pend.0umilo;絞刑架[jiǎo xíng jià],绞刑架[jiǎo xíng jià]
dependa;pend.de0a.KOMUNE;依賴[yī lài],依赖[yī lài]
dependa;pend.de0a.KOMUNE;相依[xiāng yī]
dependa;pend.de0a.KOMUNE;成瘾[chéng yǐn],成癮[chéng yǐn]
depende je;pend.de0eje;來說[lái shuō],来说[lái shuō]
depende je;pend.de0eje;依[yī]
dependi;pend.de0i;依賴[yī lài],依赖[yī lài]
dependi;pend.de0i;視乎[shì hū],视乎[shì hū]
dependi;pend.de0i;賴以[lài yǐ],赖以[lài yǐ]
dependi;pend.de0i;乇[zhé]
dependi;pend.de0i;依賴於[yī lài yú],依赖于[yī lài yú]
dependi;pend.de0i;取决于[qǔ jué yú],取決於[qǔ jué yú]
dependi;pend.de0i;系于[xì yú],繫於[xì yú]
elpendaĵo;pend.el0ajxo.sxildo;幌子[huǎng zi]
elpendaĵo;pend.el0ajxo.sxildo;幌[huǎng]
nedependa;pend.nede0a;独立自主[dú lì zì zhǔ],獨立自主[dú lì zì zhǔ]
nedependa;pend.nede0a;自主[zì zhǔ]
nedependa;pend.nede0a;自立[zì lì]
nedependa;pend.nede0a;独立[dú lì],獨立[dú lì]
orelpendaĵo;pend.orel0ajxo;耳环[ěr huán],耳環[ěr huán]
orelpendaĵo;pend.orel0ajxo;珰[dāng],璫[dāng]
orelpendaĵo;pend.orel0ajxo;耳坠[ěr zhuì],耳墜[ěr zhuì]
sendependa;pend.sende0a;独立自主[dú lì zì zhǔ],獨立自主[dú lì zì zhǔ]
sendependa;pend.sende0a;独立[dú lì],獨立[dú lì]
sendependa;pend.sende0a;自主[zì zhǔ]
sendependa;pend.sende0a;自立[zì lì]
sendependa;pend.sende0a;无党无派[wú dǎng wú pài],無黨無派[wú dǎng wú pài]
sendependeco;pend.sende0eco;独立[dú lì],獨立[dú lì]
sendependeco;pend.sende0eco;自主[zì zhǔ]
sendependismo;pend.sende0ismo;分裂主义[fēn liè zhǔ yì],分裂主義[fēn liè zhǔ yì]
sendependismo;pend.sende0ismo;分离主义[fēn lí zhǔ yì],分離主義[fēn lí zhǔ yì]
sendependisto;pend.sende0isto;分离分子[fēn lí fèn zǐ],分離份子[fēn lí fèn zǐ]
superpendi;pend.super0i.KOMUNE;悬垂[xuán chuí],懸垂[xuán chuí]
superpendi;pend.super0i.KOMUNE;外悬[wài xuán],外懸[wài xuán]
pendoli;pendol.0i;摆晃[bǎi huàng],擺晃[bǎi huàng]
pendoli;pendol.0i;摆荡[bǎi dàng],擺蕩[bǎi dàng]
pendoli;pendol.0i;摆动[bǎi dòng],擺動[bǎi dòng]
pendolilo;pendol.0ilo;秋千[qiū qiān],鞦韆[qiū qiān]
pendolo;pendol.0o.pezajxo;鐘擺[zhōng bǎi],钟摆[zhōng bǎi]
pendolo;pendol.0o.pezajxo;摆[bǎi],擺[bǎi]
pendolo;pendol.0o.pezajxo;单摆[dān bǎi],單擺[dān bǎi]
penetra;penetr.0a;尖銳[jiān ruì],尖锐[jiān ruì]
penetra;penetr.0a;彻[chè],徹[chè]
penetra;penetr.0a;精辟[jīng pì],精闢[jīng pì]
penetra;penetr.0a;透辟[tòu pì],透闢[tòu pì]
penetra;penetr.0a;通透[tōng tòu]
penetra;penetr.0a;透[tòu]
penetrema;penetr.0ema;透辟[tòu pì],透闢[tòu pì]
penetrema;penetr.0ema;在底部[zài dǐ bù]
penetri;penetr.0i;穿透[chuān tòu]
penetri;penetr.0i;彻[chè],徹[chè]
penetri;penetr.0i;透[tòu]
penetri;penetr.0i;透进[tòu jìn],透進[tòu jìn]
penetri;penetr.0i;渗入[shèn rù],滲入[shèn rù]
penetri;penetr.0i;浸[jìn]
penetri;penetr.0i;寖[jìn]
penetrigi;penetr.0igi;貫[guàn],贯[guàn]
enpenetri;penetr.en0i;渗入[shèn rù],滲入[shèn rù]
enpenetri;penetr.en0i;入侵[rù qīn]
enpenetri;penetr.en0i;宰割[zǎi gē]
enpenetri;penetr.en0i;挤入[jǐ rù],擠入[jǐ rù]
enpenetri;penetr.en0i;混进[hùn jìn],混進[hùn jìn]
enpenetri;penetr.en0i;被入侵[bèi rù qīn]
enpenetri;penetr.en0i;被渗透[bèi shèn tòu],被滲透[bèi shèn tòu]
enpenetri;penetr.en0i;被穿透[bèi chuān tòu]
enpenetri;penetr.en0i;闖進[chuǎng jìn],闯进[chuǎng jìn]
enpenetri;penetr.en0i;窜进[cuàn jìn],竄進[cuàn jìn]
enpenetri;penetr.en0i;填进[tián jìn],填進[tián jìn]
netrapenetrebla;penetr.ne0ebla;不能透过[bù néng tòu guò],不能透過[bù néng tòu guò]
netrapenetrebla;penetr.ne0ebla;不通透[bù tōng tòu]
netrapenetrebla;penetr.ne0ebla;透不过[tòu bù guò],透不過[tòu bù guò]
trapenetri;penetr.tra0i;透[tòu]
trapenetri;penetr.tra0i;穿透[chuān tòu]
trapenetri;penetr.tra0i;彻[chè],徹[chè]
trapenetri;penetr.tra0i;渗透[shèn tòu],滲透[shèn tòu]
trapenetri;penetr.tra0i;透进[tòu jìn],透進[tòu jìn]
trapenetri;penetr.tra0i;下决心[xià jué xīn],下決心[xià jué xīn]
trapenetri;penetr.tra0i;浸[jìn]
trapenetri;penetr.tra0i;寖[jìn]
trapenetri;penetr.tra0i;渍[zì],漬[zì]
trapenetri;penetr.tra0i;浸透[jìn tòu]
penio;peni.0o;便士[biàn shì]
penio;peni.0o;本士[běn shì]
penicilino;penicilin.0o;青霉素[qīng méi sù],青黴素[qīng méi sù]
penicilino;penicilin.0o;盘尼西林[pán ní xī lín],盤尼西林[pán ní xī lín]
penicilino;penicilin.0o;青霉素[qīng méi sù]
penicilino;penicilin.0o;青黴素[qīng méi sù]
peniki;penik.0i;作画[zuò huà],作畫[zuò huà]
peniko;penik.0o.TEK;画笔[huà bǐ],畫筆[huà bǐ]
peniko;penik.0o.TEK;毛笔[máo bǐ],毛筆[máo bǐ]
peniko;penik.0o.TEK;聿[yù]
peniko;penik.0o.beraro;蔟[cù]
peniko;penik.0o.beraro;总状花序[zǒng zhuàng huā xù],總狀花序[zǒng zhuàng huā xù]
peniko;penik.0o.kvasto;穗飾[suì shì],穗饰[suì shì]
peniko;penik.0o.kvasto;纓[yīng],缨[yīng]
peniko;penik.0o.kvasto;流苏[liú sū],流蘇[liú sū]
peniko;penik.0o.kvasto;紇[hé],纥[hé]
peniko;penik.0o.kvasto;旒[liú]
peniko;penik.0o.kvasto;繐[suì]
peniko;penik.0o.kvasto;䍁[suì],繸[suì]
peniko;penik.0o.kvasto;繸[suì]
peniso;penis.0o;阴茎[yīn jīng],陰莖[yīn jīng]
peniso;penis.0o;屌[diǎo]
peniso;penis.0o;屪[liáo]
peniso;penis.0o;男根[nán gēn]
peniso;penis.0o;阳具[yáng jù],陽具[yáng jù]
peniso;penis.0o;鳥[diǎo],鸟[diǎo]
peniso;penis.0o;𡳞[lìn]
peniso;penis.0o;阳物[yáng wù],陽物[yáng wù]
pensado;pens.0ado;思維[sī wéi],思维[sī wéi]
pensado;pens.0ado;思想[sī xiǎng]
pensado;pens.0ado;思維方式[sī wéi fāng shì],思维方式[sī wéi fāng shì]
pensado;pens.0ado;心[xīn]
pensado;pens.0ado;思惟[sī wéi]
pensaĵo;pens.0ajxo;念[niàn]
pensaĵo;pens.0ajxo;思潮[sī cháo]
pensaĵo;pens.0ajxo;思想[sī xiǎng]
pensaĵo;pens.0ajxo;思路[sī lù]
pensaĵo;pens.0ajxo;念头[niàn tou],念頭[niàn tou]
pensema;pens.0ema;悠[yōu]
pensema;pens.0ema;周到[zhōu dào]
pensi;pens.0i;思[sī]
pensi;pens.0i;思維[sī wéi],思维[sī wéi]
pensi;pens.0i;心机[xīn jī],心機[xīn jī]
pensi;pens.0i;暗想[àn xiǎng]
pensi;pens.0i;想[xiǎng]
pensi;pens.0i;动脑筋[dòng nǎo jīn],動腦筋[dòng nǎo jīn]
pensi;pens.0i;忖[cǔn]
pensi;pens.0i;寻味[xún wèi],尋味[xún wèi]
pensi;pens.0i;以为[yǐ wéi],以為[yǐ wéi]
pensi;pens.0i;認為[rèn wéi],认为[rèn wéi]
pensiga;pens.0iga;耐人寻味[nài rén xún wèi],耐人尋味[nài rén xún wèi]
pensiga;pens.0iga;发人深省[fā rén shēn xǐng],發人深省[fā rén shēn xǐng]
pensiga;pens.0iga;发人深思[fā rén shēn sī],發人深思[fā rén shēn sī]
pensigi;pens.0igi;耐人寻味[nài rén xún wèi],耐人尋味[nài rén xún wèi]
pensulo;pens.0isto;思想家[sī xiǎng jiā]
penso;pens.0o;思維[sī wéi],思维[sī wéi]
penso;pens.0o;思想[sī xiǎng]
penso;pens.0o;念头[niàn tou],念頭[niàn tou]
penso;pens.0o;念[niàn]
penso;pens.0o;思潮[sī cháo]
antaŭpensi;pens.antaux0i;思忖[sī cǔn]
antaŭpensi;pens.antaux0i;忖[cǔn]
antaŭpensi;pens.antaux0i;預謀[yù móu],预谋[yù móu]
antaŭpensi;pens.antaux0i;慮[lù:],虑[lù:]
antaŭpensi;pens.antaux0i;深思[shēn sī]
antaŭpripensi;pens.antauxpri0i;寻思[xún sī],尋思[xún sī]
antaŭpripensi;pens.antauxpri0i;忖[cǔn]
antaŭpripensi;pens.antauxpri0i;思忖[sī cǔn]
elpensaĵo;pens.el0ajxo;发明[fā míng],發明[fā míng]
elpensi;pens.el0i;发明创造[fā míng chuàng zào],發明創造[fā míng chuàng zào]
elpensi;pens.el0i;虚构[xū gòu],虛構[xū gòu]
elpensi;pens.el0i;想出[xiǎng chū]
elpensi;pens.el0i;造[zào]
elpensi;pens.el0i;动脑筋[dòng nǎo jīn],動腦筋[dòng nǎo jīn]
enpensiĝema;pens.en0ema;悠[yōu]
enpensiĝi;pens.en0igxi;思忖[sī cǔn]
enpensiĝi;pens.en0igxi;沉思[chén sī]
postpenso;pens.post0o;后感[hòu gǎn],後感[hòu gǎn]
prempenso;pens.prem0o;热衷[rè zhōng],熱衷[rè zhōng]
pripensema;pens.pri0ema;周到[zhōu dào]
pripensema;pens.pri0ema;心眼大[xīn yǎn dà]
pripensi;pens.pri0i;再考慮[zài kǎo lǜ],再考虑[zài kǎo lǜ]
pripensi;pens.pri0i;加盖[jiā gài],加蓋[jiā gài]
pripensi;pens.pri0i;思考[sī kǎo]
pripensi;pens.pri0i;反思[fǎn sī]
pripensi;pens.pri0i;沉思[chén sī]
pripensi;pens.pri0i;审订[shěn dìng],審訂[shěn dìng]
pripensi;pens.pri0i;有屋頂[yǒu wū dǐng],有屋顶[yǒu wū dǐng]
pripensi;pens.pri0i;認真考慮[rèn zhēn kǎo lǜ],认真考虑[rèn zhēn kǎo lǜ]
pripensi;pens.pri0i;暗想[àn xiǎng]
pripensi;pens.pri0i;忖[cǔn]
pripensi;pens.pri0i;从长计议[cóng cháng jì yì],從長計議[cóng cháng jì yì]
pripensinda;pens.pri0inda;耐人寻味[nài rén xún wèi],耐人尋味[nài rén xún wèi]
revpensi;pens.rev0i;做白日夢[zuò bái rì mèng],做白日梦[zuò bái rì mèng]
revpensi;pens.rev0i;幻想[huàn xiǎng]
revpensi;pens.rev0i;一厢情愿[yī xiāng qíng yuàn],一廂情願[yī xiāng qíng yuàn]
senpripensa;pens.senpri0a;不周[bù zhōu]
senpripensa;pens.senpri0a;粗心[cū xīn]
senpripensa;pens.senpri0a;不注意[bù zhù yì]
senpripensa;pens.senpri0a;冒失[mào shi]
senpripensa;pens.senpri0a;孟浪[mèng làng]
pensio;pensi.0o;退休金[tuì xiū jīn]
pensio;pensi.0o;养老金[yǎng lǎo jīn],養老金[yǎng lǎo jīn]
pensiuliĝi;pensi.0uligxi.POL;离休[lí xiū],離休[lí xiū]
pensiulo;pensi.0ulo;退休人员[tuì xiū rén yuán],退休人員[tuì xiū rén yuán]
Pensilvanio;pensilvani.0o;宾夕法尼亚[Bīn xī fǎ ní yà],賓夕法尼亞[Bīn xī fǎ ní yà]
Pensilvanio;pensilvani.0o;宾夕法尼亚州[Bīn xī fǎ ní yà zhōu],賓夕法尼亞州[Bīn xī fǎ ní yà zhōu]
Pensilvanio;pensilvani.0o;宾州[Bīn zhōu],賓州[Bīn zhōu]
Pensilvanio;pensilvani.0o;宾西法尼亚[Bīn xī fǎ ní yà],賓西法尼亞[Bīn xī fǎ ní yà]
pensiono;pensio.0o;供膳食的宿舍[gōng shàn shí de sù shè]
pensiono;pensio.0o;便宜的酒店[pián yi de jiǔ diàn]
pensiono;pensio.0o;小旅館[xiǎo lǚ guǎn],小旅馆[xiǎo lǚ guǎn]
pensiono;pensio.0o;旅店[lǚ diàn]
penti;pent.0i;悔改[huǐ gǎi]
penti;pent.0i;忏悔[chàn huǐ],懺悔[chàn huǐ]
penti;pent.0i;后悔[hòu huǐ],後悔[hòu huǐ]
penti;pent.0i;悔恨[huǐ hèn]
penti;pent.0i;悔悟[huǐ wù]
penti;pent.0i;悔[huǐ]
penti;pent.0i;悔过[huǐ guò],悔過[huǐ guò]
penti;pent.0i;懊悔[ào huǐ]
penti;pent.0i;追悔[zhuī huǐ]
penti;pent.0i;忏[chàn],懺[chàn]
penti;pent.0i;懊恨[ào hèn]
penti;pent.0i;自悔[zì huǐ]
pento;pent.0o;悔恨[huǐ hèn]
pento;pent.0o;后悔[hòu huǐ],後悔[hòu huǐ]
pento;pent.0o;悔意[huǐ yì]
pento;pent.0o;沉痛[chén tòng]
pento;pent.0o;疚[jiù]
pento;pent.0o;悔[huǐ]
pento;pent.0o;忏[chàn],懺[chàn]
pentofari;;悔过[huǐ guò],悔過[huǐ guò]
pripenti;pent.pri0i;憾[hàn]
pripenti;pent.pri0i;悔[huǐ]
pentagono;pentag.0o;五角[wǔ jiǎo]
pentagono;pentag.0o;五边形[wǔ biān xíng],五邊形[wǔ biān xíng]
pentagono;pentag.0o;五角形[wǔ jiǎo xíng]
pentagramo;pentagram.0o;五角星[wǔ jiǎo xīng]
pentametro;pentam.0o;五音步詩行[wǔ yīn bù shī xíng],五音步诗行[wǔ yīn bù shī xíng]
Pentateŭko;pentateuxk.0o.torao;摩西五书[mó xī wǔ shū],摩西五書[mó xī wǔ shū]
pentatomo;pentatom.0o;臭屁虫[chòu pì chóng],臭屁蟲[chòu pì chóng]
Pentekostismo;pentek.0ismo;五旬節運動[wǔ xún jié yùn dòng],五旬节运动[wǔ xún jié yùn dòng]
Pentekosto;pentek.0o;五旬節[wǔ xún jié],五旬节[wǔ xún jié]
Pentekosto;pentek.0o;圣灵降临[Shèng líng jiàng lín],聖靈降臨[Shèng líng jiàng lín]
Pentekosto;pentek.0o;收割節[shōu gē jié],收割节[shōu gē jié]
Pentekosto;pentek.0o;圣灵节[shèng líng jié],聖靈節[shèng líng jié]
pentraĵo;pentr.0ajxo;画作[huà zuò],畫作[huà zuò]
pentraĵo;pentr.0ajxo;画儿[huà r],畫兒[huà r]
pentraĵo;pentr.0ajxo;加色[jiā sè]
pentraĵo;pentr.0ajxo;塗漆[tú qī],涂漆[tú qī]
pentri;pentr.0i;画画[huà huà],畫畫[huà huà]
pentri;pentr.0i;作画[zuò huà],作畫[zuò huà]
pentri;pentr.0i;画[huà],畫[huà]
pentri;pentr.0i;繪畫[huì huà],绘画[huì huà]
pentrinda;pentr.0inda;如画[rú huà],如畫[rú huà]
pentrinda;pentr.0inda;如詩如畫[rú shī rú huà],如诗如画[rú shī rú huà]
pentristo;pentr.0isto;画家[huà jiā],畫家[huà jiā]
pentristo;pentr.0isto;油漆匠[yóu qī jiàng]
Pentristo;pentr.P0isto;繪架座[Huì jià zuò],绘架座[Huì jià zuò]
aĵpentraĵo;pentr.ajx0ajxo;静物[jìng wù],靜物[jìng wù]
aĵpentraĵo;pentr.ajx0ajxo;静物写生[jìng wù xiě shēng],靜物寫生[jìng wù xiě shēng]
peono;peon.0o;小卒[xiǎo zú]
peonio;peoni.0o;芍药属[sháo yào shǔ],芍藥屬[sháo yào shǔ]
peonio;peoni.0o;芍[sháo]
peonio;peoni.0o;牡丹[mǔ dān]
pep;pep.0;啅[zhào]
pep;pep.0;啾[jiū]
pep;pep.0;吱吱叫[zī zī jiào]
pepi;pep.0i;啾[jiū]
pepi;pep.0i;虫鸟叫声[chóng niǎo jiào shēng],蟲鳥叫聲[chóng niǎo jiào shēng]
pepi;pep.0i;啅[zhào]
pepi;pep.0i;喿[sào]
pepi;pep.0i;啁啾[zhōu jiū]
pepi;pep.0i;呢喃[ní nán]
pepi;pep.0i;啭[zhuàn],囀[zhuàn]
pepo;pep.0o;吱吱叫[zī zī jiào]
plorpepi;pep.plor0i;呜咽[wū yè],嗚咽[wū yè]
peplomo;peplom.0o;被[bèi]
peplomo;peplom.0o;棉被[mián bèi]
pepsino;pepsin.0o;胃蛋白酶[wèi dàn bái méi]
pepsino;pepsin.0o;酸蛋白酶[suān dàn bái méi]
pepsino;pepsin.0o;胃液素[wèi yè sù]
peptido;peptid.0o;肽[tài]
peptido;peptid.0o;縮氨酸[suō ān suān],缩氨酸[suō ān suān]
peptido;peptid.0o;呔[tāi]
per;per.0;藉着[jiè zhe],藉著[jiè zhe]
per;per.0;以心[yǐ xīn]
per;per.0.atesto;藉由[jiè yóu]
pera;per.0a;間接[jiàn jiē],间接[jiàn jiē]
pera;per.0a;斡旋[wò xuán]
pera;per.0a;非直接[fēi zhí jiē]
perado;per.0ado;中介[zhōng jiè]
perado;per.0ado;中介所[zhōng jiè suǒ]
perado;per.0ado;調停[tiáo tíng],调停[tiáo tíng]
peranto;per.0anto;媒[méi]
