caro;car.0o;沙皇[shā huáng]
ĉarpentisto;cxarpe.0isto;大工[dà gōng]
ĉasaĵo;cxas.0ajxo;掠[lüè]
ĉasejo;cxas.0ejo;狩猎场[shòu liè chǎng]
ĉasi;cxas.0i;猎捕[liè bǔ]
ĉasi;cxas.0i;猎获[liè huò]
ĉasi;cxas.0i;猎取[liè qǔ]
ĉasi;cxas.0i;追捕[zhuī bǔ]
ĉasi;cxas.0i;追逐[zhuī zhú]
ĉasi;cxas.0i;猎[liè]
ĉasisto;cxas.0isto;探求者[tàn qiú zhě]
ĉasisto;cxas.0isto;猎人[liè rén]
ĉasisto;cxas.0isto;一种蜘蛛[yī zhǒng zhī zhū]
ĉasisto;cxas.0isto;猎犬[liè quǎn]
ĉasisto;cxas.0isto;亨特[hēng tè]
ĉasisto;cxas.0isto;猎马[liè mǎ]
ĉasisto;cxas.0isto;猎师[liè shī]
ĉasisto;cxas.0isto;猎手[liè shǒu]
ĉasisto;cxas.0isto;打猎的[dǎ liè de]
ĉaso;cxas.0o;猎[liè]
pelĉaso;cxas.pel0o;政治迫害[zhèng zhì pò hài]
postĉasi;cxas.post0i;跟进[gēn jìn]
postĉasi;cxas.post0i;追寻[zhuī xún]
postĉasi;cxas.post0i;追[zhuī]
postĉasi;cxas.post0i;被跟踪[bèi gēn zōng]
ŝtelĉasi;cxas.sxtel0i;偷猎[tōu liè]
ŝtelĉasi;cxas.sxtel0i;盗猎[dào liè]
ĉasio;cxasi.0o;車架[chē jià]
ĉasio;cxasi.0o;汽車架[qì chē jià]
ĉasio;cxasi.0o;底盘[dǐ pán]
ĉasta;cxast.0a.cxastiga;貞[zhēn]
ĉasta;cxast.0a.more;黃花[huáng huā]
ĉasta;cxast.0a.more;純潔[chún jié]
ĉasteco;cxast.0eco;貞操[zhēn cāo]
ĉasteco;cxast.0eco;貞潔[zhēn jié]
malĉasta;cxast.mal0a;淫邪[yín xié]
malĉasta;cxast.mal0a;淫秽[yín huì]
malĉasta;cxast.mal0a;猥亵[wěi xiè]
malĉastaĵo;cxast.mal0ajxo;婚前性行为[hūn qián xìng xíng wéi]
malĉastaĵo;cxast.mal0ajxo;淫乱[yín luàn]
malĉastaĵo;cxast.mal0ajxo;奸淫[jiān yín]
malĉasteco;cxast.mal0eco;好色[hǎo sè]
malĉastistino;cxast.mal0istino;三陪[sān péi]
malĉastistino;cxast.mal0istino;烟花[yān huā]
malĉastistino;cxast.mal0istino;野雞[yě jī]
malĉastistino;cxast.mal0istino;鋙[wú]
malĉastistino;cxast.mal0istino;坐台小姐[zuò tái xiǎo jiě]
malĉastistino;cxast.mal0istino;妓女[jì nǚ]
malĉastistino;cxast.mal0istino;妓[jì]
malĉastisto;cxast.mal0isto;男妓[nán jì]
ĉe;cxe.0;挨[āi]
ĉe;cxe.0;边[biān]
ĉefo;cxef.0o;首席[shǒu xí]
ĉefo;cxef.0o;統領[tǒng lǐng]
ĉefo;cxef.0o;头领[tóu lǐng]
ĉefo;cxef.0o;头脑[tóu nǎo]
ĉefo;cxef.0o;头头儿[tóu tóu ér]
ĉeĥa;cxehx.0a;捷克語[jié kè yǔ]
ĉeĥo;cxehx.0o;捷克人[jié kè rén]
Ĉeĥujo;cxehx.CX0ujo;捷克[jié kè]
Ĉeĥujo;cxehx.CX0ujo;捷克共和国[jié kè gòng hé guó]
ĉeko;cxek.0o;支票[zhī piào]
ĉekaro;;支票簿[zhī piào bù]
ĉelo;cxel.0o.BIO;細胞[xì bāo]
ĉelo;cxel.0o.cxambreto;囚房[qiú fáng]
nervoĉelo;cxel.nervo0o;神經細胞[shén jīng xì bāo]
nervoĉelo;cxel.nervo0o;神經元[shén jīng yuán]
praĉelo;cxel.pra0o;干细胞[gàn xì bāo]
sunĉelo;cxel.sun0o;額定值與實際值比較[é dìng zhí yǔ shí jì zhí bǐ jiào]
unuĉelulo;cxel.unu0ulo;单细胞[dān xì bāo]
unuĉelulo;cxel.unu0ulo;单细胞生物[dān xì bāo shēng wù]
ĉemizo;cxemiz.0o;衫[shān]
ĉemizo;cxemiz.0o;衬衫[chèn shān]
to-ĉemizo;cxemiz.to0o;短袖圆领衫[duǎn xiù yuán lǐng shān]
to-ĉemizo;cxemiz.to0o;体恤衫[tǐ xù shān]
to-ĉemizo;cxemiz.to0o;汗衫[hàn shān]
ĉenero;cxen.0ero;鏈環[liàn huán]
ĉenero;cxen.0ero;环节[huán jié]
ĉeni;cxen.0i;鋃[láng]
ĉeno;cxen.0o;掛[guà]
ĉeno;cxen.0o;鏈[liàn]
deĉenigi;cxen.el0igi.FIG;激起[jī qǐ]
elĉeniĝi;cxen.el0igxi.KOMUNE;摆脱[bǎi tuō]
enĉenigi;cxen.en0igi.kateni;鋃[láng]
kolĉeno;cxen.kol0o;項鍊[xiàng liàn]
kolĉeno;cxen.kol0o;璎[yīng]
kolĉeno;cxen.kol0o;項鏈[xiàng liàn]
kolĉeno;cxen.kol0o;琲[bèi]
manĝoĉeno;cxen.mangxo0o.EKOL;營養鏈[yíng yǎng liàn]
manĝoĉeno;cxen.mangxo0o.EKOL;食物鏈[shí wù liàn]
Ĉenajo;cxenaj.0o.urbo;金奈[jīn nài]
ĉerizo;cxeriz.0o;樱[yīng]
ĉerizo;cxeriz.0o;樱桃[yīng táo]
ĉerko;cxerk.0o;壽材[shòu cái]
ĉerko;cxerk.0o;棺[guān]
ĉerko;cxerk.0o;棺木[guān mù]
ĉerko;cxerk.0o;槥[huì]
ĉerkveturilo;cxerk.0veturilo;輴[chūn]
ĉerkveturilo;cxerk.0veturilo;輀[ér]
ĉerkveturilo;cxerk.0veturilo;轀[wēn]
ĉerkveturilo;cxerk.0veturilo;柩車[jiù chē]
ĉerkesa;cxerkes.0a;卡巴尔达语[kǎ bā ěr dá yǔ]
Ĉernobilo;cxernobil.0o;切尔诺贝利[qiè ěr nuò bèi lì]
ĉernozemo;cxernozem.0o;黑土[hēi tǔ]
ĉerpi;cxerp.0i;汲取[jí qǔ]
ĉerpi;cxerp.0i;撇去[piē qù]
ĉerpi;cxerp.0i;舀取[yǎo qǔ]
ĉerpi;cxerp.0i;挹[yì]
elĉerpi;cxerp.el0i;耗竭[hào jié]
elĉerpi;cxerp.el0i;汲空[jí kōng]
elĉerpi;cxerp.el0i;耗尽[hào jìn]
elĉerpi;cxerp.el0i;抌[yǎo]
elĉerpi;cxerp.el0i;用光[yòng guāng]
elĉerpi;cxerp.el0i;舀[yǎo]
deĉerpi;cxerp.de0i;撇去[piē qù]
ĉerpilo;cxerp.0ilo;勺[sháo]
elĉerpita;cxerp.el0ita.FIZL;疲惫[pí bèi]
elĉerpita;cxerp.el0ita.FIZL;匮[kuì]
elĉerpita;cxerp.el0ita.FIZL;累[lèi]
elĉerpita;cxerp.el0ita.FIZL;闌[lán]
elĉerpita;cxerp.el0ita.FIZL;委頓[wěi dùn]
elĉerpita;cxerp.el0ita.FIZL;发苶[fā nié]
elĉerpita;cxerp.el0ita.FIZL;枯竭[kū jié]
ĉesi;;画下句點[huà xià jù diǎn]
ĉesigi;cxes.0igi;絕[jué]
ĉesigi;cxes.0igi;吊[diào]
ĉesigi;cxes.0igi;止[zhǐ]
pafĉesigo;cxes.paf0igo;炮火間歇[pào huǒ jiān xiē]
pafĉesigo;cxes.paf0igo;停火[tíng huǒ]
senĉesa;cxes.sen0a;不止[bù zhǐ]
senĉesa;cxes.sen0a;漫漫[màn màn]
senĉesa;cxes.sen0a;不断[bù duàn]
ĉevalaĵo;cxeval.0ajxo;馬肉[mǎ ròu]
ĉevalejo;cxeval.0ejo;馬舍[mǎ shè]
ĉevalestro;cxeval.0estro;洗馬[xiǎn mǎ]
ĉevalestro;cxeval.0estro;侍从武官[shì cóng wǔ guān]
ĉevalestro;cxeval.0estro;掌馬官[zhǎng mǎ guān]
ĉevaleto;cxeval.0eto.FIG;最愛幹的事[zuì ài gàn de shì]
ĉevalido;cxeval.0ido;駒[jū]
ĉevalido;cxeval.0ido;小馬[xiǎo mǎ]
ĉevalido;cxeval.0ido;馬駒[mǎ jū]
ĉevalino;cxeval.0ino;騋[lái]
ĉevalino;cxeval.0ino;騇[shè]
ĉevalino;cxeval.0ino;牝馬[pìn mǎ]
ĉevalino;cxeval.0ino;母馬[mǔ mǎ]
ĉevalino;cxeval.0ino;騍[kè]
ĉevalpovo;cxeval.0povo;馬力[mǎ lì]
kurĉevalo;cxeval.kur0o;賽馬[sài mǎ]
marĉevaleto;cxeval.mar0eto;海馬[hǎi mǎ]
marĉevaleto;cxeval.mar0eto;海馬屬[hǎi mǎ shǔ]
marĉevaleto;cxeval.mar0eto;龍落子[lóng luò zi]
troja ĉevalo;cxeval.troja0o;特洛伊木馬[tè luò yī mù mǎ]
troja ĉevalo;cxeval.troja0o;一种黑程序[yī zhǒng hēi chéng xù]
troja ĉevalo;cxeval.troja0o;后来被视为病毒[hòu lái bèi shì wéi bìng dú]
virĉevalo;cxeval.vir0o;牡馬[mǔ mǎ]
ĉevrono;cxevro.0o.KON;甍[méng]
ĉevrono;cxevro.0o.KON;椽子[chuán zi]
ĉia;cxia.0;各类[gè lèi]
ĉia;cxia.0;備受[bèi shòu]
ĉiam;cxiam.0;老是[lǎo shi]
ĉiama;cxiam.0a;千古[qiān gǔ]
ĉiama;cxiam.0a;永恆[yǒng héng]
ĉiam;;从来[cóng lái]
porĉiama;;永久[yǒng jiǔ]
porĉiame;cxiam.por0e;天長地久[tiān cháng dì jiǔ]
porĉiame;cxiam.por0e;永久地[yǒng jiǔ de]
porĉiame;cxiam.por0e;永远[yǒng yuǎn]
ĉiĉerono;cxicxe.0o;外国导游[wài guó dǎo yóu]
ĉiĉerono;cxicxe.0o;导游[dǎo yóu]
ĉiĉerono;cxicxe.0o;旅游指南[lǚ yóu zhǐ nán]
ĉie;cxie.0;八下里[bā xià lǐ]
ĉie;cxie.0;五洲[wǔ zhōu]
ĉie;cxie.0;各处[gè chù]
ĉie;cxie.0;世界各处[shì jiè gè chù]
ĉie;cxie.0;世界各地[shì jiè gè dì]
ĉielo;cxiel1.0o;远天[yuǎn tiān]
ĉiesulino;cxies.0ulino;娼优[chāng yōu]
ĉiesulino;cxies.0ulino;坐台小姐[zuò tái xiǎo jiě]
ĉiesulino;cxies.0ulino;妓[jì]
ĉiesulino;cxies.0ulino;鋙[wú]
ĉiesulino;cxies.0ulino;烟花[yān huā]
ĉiesulino;cxies.0ulino;三陪[sān péi]
ĉiesulino;cxies.0ulino;野雞[yě jī]
ĉiesulino;cxies.0ulino;娼女[chāng nǚ]
ĉiesulino;cxies.0ulino;妓女[jì nǚ]
ĉiesulino;cxies.0ulino;娼[chāng]
ĉiesulino;cxies.0ulino;婊[biǎo]
Ĉieliro;cxiel1.Cx0iro;基督升天日[jī dū shēng tiān rì]
sub libera ĉielo;cxiel1.sublibera0o;明处[míng chù]
sub libera ĉielo;cxiel1.sublibera0o;露天[lù tiān]
ĉifi;cxif.0i;弄皱[nòng zhòu]
ĉifi;cxif.0i;挼[ruó]
ĉifi;cxif.0i;捼[ruó]
neĉifebla;cxif.ne0ebla;挺括不縐[tǐng kuò bù zhòu]
neĉifebla;cxif.ne0ebla;防皱[fáng zhòu]
neĉifebla;cxif.ne0ebla;抗皱[kàng zhòu]
ĉifĉafo;cxifcxaf.0o;柳莺属[liǔ yīng shǔ]
ĉifonfiguro;cxifon.0figuro;稻草人[dào cǎo rén]
ĉifonisto;cxifon.0isto;收买破烂的人[shōu mǎi pò làn de rén]
ĉifono;cxifon.0o;袽[rú]
ĉifonulo;cxifon.0ulo;稻草人[dào cǎo rén]
ĉifri;;加密码[jiā mì mǎ]
ĉifri;;編譯過[biān yì guò]
ĉifri;;加密了[jiā mì liǎo]
ĉifri;;加密[jiā mì]
ĉifri;;加密后的[jiā mì hòu de]
ĉifro;;暗码[àn mǎ]
ĉifro;;略码[lüè mǎ]
malĉifri;cxifr.mal0i;破譯[pò yì]
malĉifri;cxifr.mal0i;解讀[jiě dú]
ĉigongo;cxigong.0o;气功[qì gōng]
ĉikanema;cxikan.0ema;喜欢吵架[xǐ huān chǎo jià]
ĉikanema;cxikan.0ema;好争吵[hǎo zhēng chǎo]
ĉikani;cxikan.0i.gxeni;刁难[diāo nàn]
ĉikani;cxikan.0i.gxeni;欺負[qī fù]
ĉikani;cxikan.0i.gxeni;起雾[qǐ wù]
ĉikani;cxikan.0i.gxeni;欺侮[qī wǔ]
ĉikani;cxikan.0i.gxeni;躏[lìn]
ĉikani;cxikan.0i.gxeni;凌虐[líng nüè]
ĉikani;cxikan.0i.gxeni;侮辱[wǔ rǔ]
ĉikani;cxikan.0i.gxeni;猷[yóu]
ĉikani;cxikan.0i.gxeni;纏繞[chán rǎo]
ĉikani;cxikan.0i.gxeni;唣[zào]
ĉikani;cxikan.0i.gxeni;計謀[jì móu]
ĉikani;cxikan.0i.gxeni;犹[yóu]
ĉikani;cxikan.0i.gxeni;气[qì]
ĉikani;cxikan.0i.gxeni;折磨[zhé mó]
ĉikani;cxikan.0i.harfendi;吹毛求疵[chuī máo qiú cī]
ĉikani;cxikan.0i.harfendi;挑剔[tiāo tī]
Ĉilio;cxili.CX0o;智利[zhì lì]
ĉimpanzo;cximpa.0o.genro;黑猩猩属[hēi xīng xing shǔ]
ĉimpanzo;cximpa.0o.specio;黑猩猩[hēi xīng xing]
malgranda ĉimpanzo;cximpa.malgranda0o;倭黑猩猩[wō hēi xīng xing]
ĉinĉilo;cxincxil.0o.ZOO;南美栗鼠[nán měi lì shǔ]
Ĉingisĥano;cxingis.0hxano;成吉思汗[chéng jí sī hán]
ĉio;cxio.0;一切事物[yī qiè shì wù]
ĉio;cxio.0;每件事[měi jiàn shì]
ĉio;cxio.0;凡事[fán shì]
ĉio;cxio.0;所有的[suǒ yǒu de]
ĉio;cxio.0;一切都[yī qiè dōu]
ĉio;cxio.0;事事[shì shì]
ĉiom;;五花八門[wǔ huā bā mén]
ĉipa;cxip.0a;价格便宜[jià gé pián yi]
ĉipa;cxip.0a;低成本[dī chéng běn]
ĉipa;cxip.0a;賤[jiàn]
ĉipa;cxip.0a;廉[lián]
ĉipa;cxip.0a;便宜[pián yi]
ĉiro;cxir.0o;卷须状之物[juǎn xū zhuàng zhī wù]
ĉiro;cxir.0o;卷鬓[juǎn bìn]
ĉiro;cxir.0o;卷云[juǎn yún]
ĉiro;cxir.0o;卷须[juǎn xū]
ĉiro;cxir.0o;蔓[màn]
ĉiro;cxir.0o;籐[téng]
ĉiro;cxir.0o;藤[téng]
ĉiro;cxir.0o;纏繞[chán rǎo]
ĉirkaŭ;cxirka.0.proksimume;約合[yuē hé]
ĉirkaŭ;cxirka.0.proksimume;近似于[jìn sì yú]
ĉirkaŭ;cxirka.0.space;围绕着[wéi rǎo zhe]
ĉirkaŭ;cxirka.0.space;四捨五入[sì shě wǔ rù]
ĉirkaŭ;cxirka.0.space;四下里[sì xià lǐ]
ĉirkaŭe;cxirka.0e.proksimume;大約[dà yuē]
ĉirkaŭe;cxirka.0e.proksimume;約莫[yuē mo]
ĉirkaŭe;cxirka.0e.proksimume;概[gài]
ĉirkaŭe;cxirka.0e.proksimume;有点[yǒu diǎn]
ĉirkaŭumi;cxirka.0umi.MIL;包围[bāo wéi]
ĉirkaŭumi;cxirka.0umi.MIL;围[wéi]
ĉirkaŭumi;cxirka.0umi.MIL;包[bāo]
ĉirkaŭaĵo;cxirka.0ajxo;周围[zhōu wéi]
ĉirkaŭaĵo;cxirka.0ajxo;坰[jiōng]
ĉirkaŭaĵo;cxirka.0ajxo;环境[huán jìng]
ĉirkaŭaĵo;cxirka.0ajxo;外界[wài jiè]
ĉirkaŭaĵo;cxirka.0ajxo;周边[zhōu biān]
ĉirkaŭaĵo;cxirka.0ajxo;邻里[lín lǐ]
ĉirpi;cxirp.0i.soni;虫鸟叫声[chóng niǎo jiào shēng]
ĉirpi;cxirp.0i.soni;啾[jiū]
ĉirpi;cxirp.0i.soni;噪[zào]
ĉirpi;cxirp.0i.soni;啅[zhào]
Ĉitagongo;cxitagong.0o;吉大港[jí dà gǎng]
ĉiu;cxiu.0;任何一个人[rèn hé yī gè rén]
ĉiu;cxiu.0;各个[gè gè]
ĉiu;cxiu.0;各位[gè wèi]
ĉiuj;cxiu.0;各位[gè wèi]
ĉizi;cxiz.0i;劂[jué]
ĉizi;cxiz.0i;凿[záo]
ĉizi;cxiz.0i;錾[zàn]
ĉizi;cxiz.0i;鐫[juān]
ĉizilo;cxiz.0ilo;銶[qiú]
ĉizilo;cxiz.0ilo;凿子[záo zi]
cizileto;;錾[zàn]
Ĉizilo;cxiz.CX0ilo;雕刻刀[diāo kè dāo]
paĉjo;cxj.pa0o;爸爸[bà ba]
trinkĉokolado;cxokol.trink0o;热巧克力[rè qiǎo kè lì]
trinkĉokolado;cxokol.trink0o;热巧克[rè qiǎo kè]
ĉoto;cxot.0o;杜父魚[dù fù yú]
ĉoto;cxot.0o;鯰魚[nián yú]
ĉukĉa;cxukcx.0a;楚科奇語[chǔ kē qí yǔ]
ĉukĉo;cxukcx.0o;楚科奇族[chǔ kē qí zú]
ĉuri;cxur.0i.FIZL;打飛機[dǎ fēi jī]
ĉuvaŝo;cxuvasx.0o;楚瓦什人[chǔ wǎ shí rén]
