fabo;fab.0o.BOT;蚕豆[cán dòu]
Granda Fasto;fast.granda0o.KRI;封斋期[fēng zhāi qī]
Granda Fasto;fast.granda0o.KRI;大斋期[dài zhāi qī]
faŝismo;fasxis.0o;法西斯主义[fǎ xī sī zhǔ yì]
faŝisto;fasxis1.0o;法西斯党员[fǎ xī sī dǎng yuán]
faŝisto;fasxis1.0o;法西斯主义者[fǎ xī sī zhǔ yì zhě]
faŝisto;fasxis1.0o;法西斯分子[fǎ xī sī fèn zǐ]
faŝisto;fasxis1.0o;法西斯[fǎ xī sī]
kontraŭfaŝisto;fasxis1.kontraux0o;反法西斯主义者[fǎn fǎ xī sī zhǔ yì zhě]
fato;fat.0o;罹难[lí nàn]
fato;fat.0o;毀滅[huǐ miè]
fato;fat.0o;命运的打击[mìng yùn de dǎ jī]
fato;fat.0o;厄运[è yùn]
fato;fat.0o;运命[yùn mìng]
fatalaĵo;fatal.0ajxo;不順利的事[bù shùn lì de shì]
fatalaĵo;fatal.0ajxo;逆境[nì jìng]
fatalaĵo;fatal.0ajxo;艰难[jiān nán]
fatalaĵo;fatal.0ajxo;不方便[bù fāng biàn]
fatalaĵo;fatal.0ajxo;閃失[shǎn shī]
fatalismo;fatal.0ismo;宿命論[sù mìng lùn]
fatalo;fatal.0o;罹难[lí nàn]
fatalo;fatal.0o;毀滅[huǐ miè]
fatalo;fatal.0o;命运的打击[mìng yùn de dǎ jī]
fatalo;fatal.0o;厄运[è yùn]
fatamorgano;fatamo.0o;蜃景[shèn jǐng]
fatamorgano;fatamo.0o;幻景[huàn jǐng]
fatamorgano;fatamo.0o;海市蜃楼[hǎi shì shèn lóu]
faŭki;fauxk.0i;裂成縫[liè chéng féng]
faŭki;fauxk.0i;张开[zhāng kāi]
faŭki;fauxk.0i;呴[xū]
faŭko;fauxk.0o.ZOO;咽头[yān tóu]
faŭko;fauxk.0o.ZOO;深淵[shēn yuān]
faŭko;fauxk.0o.ZOO;咽喉[yān hóu]
fava;fav.0a.fia;麻風[má fēng]
fava;fav.0a.fia;麻風病[má fēng bìng]
favulo;fav.0ulo.FIG;被社会抛弃的人[bèi shè huì pāo qì de rén]
favulo;fav.0ulo.FIG;受蔑視的人[shòu miè shì de rén]
favora;favor.0a.helpema;宽宏大度[kuān hóng dà dù]
favora;favor.0a.helpema;宽宏[kuān hóng]
favora;favor.0a.helpema;傲然地[ào rán de]
favora;favor.0a.helpema;慷慨[kāng kǎi]
favora;favor.0a.helpema;慷[kāng]
favoraĵo;favor.0ajxo;厚意[hòu yì]
favoraĵo;favor.0ajxo;欢心[huān xīn]
favoraĵo;favor.0ajxo;恩待[ēn dài]
favoraĵo;favor.0ajxo;偏愛[piān ài]
favoraĵo;favor.0ajxo;許可[xǔ kě]
favoraĵo;favor.0ajxo;資助籌借[zī zhù chóu jiè]
favoraĵo;favor.0ajxo;升任[shēng rèn]
favoraĵo;favor.0ajxo;养育[yǎng yù]
favorato;favor.0ato;紅人[hóng rén]
favori;favor.0i;貤[yí]
favori;favor.0i;起用[qǐ yòng]
favori;favor.0i;升迁[shēng qiān]
favori;favor.0i;促[cù]
favori;favor.0i;受惠[shòu huì]
favori;favor.0i;有助于[yǒu zhù yú]
favori;favor.0i;裨[bì]
favori;favor.0i;宠爱[chǒng ài]
favori;favor.0i;偏愛[piān ài]
favori;favor.0i;优先[yōu xiān]
favori;favor.0i;俫[lái]
favoro;favor.0o;惠[huì]
favoro;favor.0o;厚意[hòu yì]
favoro;favor.0o;欢心[huān xīn]
favoro;favor.0o;資助籌借[zī zhù chóu jiè]
favoro;favor.0o;升任[shēng rèn]
sanfavora;favor.san0a;促进健康[cù jìn jiàn kāng]
sanfavora;favor.san0a;多身体好[duō shēn tǐ hǎo]
fazo;faz.0o;阶段[jiē duàn]
fazo;faz.0o;相位[xiāng wèi]
fazo;faz.0o;时期[shí qī]
fazano;fazan.0o;鵫[zhào]
fazano;fazan.0o;翚[huī]
fazano;fazan.0o;鵗[xī]
fazano;fazan.0o;雉雞[zhì jī]
fazanedoj;fazane.0oj;雉科[zhì kē]
fazeolo;fazeol.0o;芸[yún]
fazeolo;fazeol.0o;芸豆[yún dòu]
fea;fe.0a;像仙女[xiàng xiān nǚ]
fea;fe.0a;仙女[xiān nǚ]
feino;fe.0ino;美丽女妖[měi lì nǚ yāo]
feino;fe.0ino;天女[tiān nǚ]
feino;fe.0ino;天仙[tiān xiān]
feino;fe.0ino;仙女[xiān nǚ]
febla;febl.0a;薄弱[báo ruò]
febla;febl.0a;病弱[bìng ruò]
febri;febr.0i.MED;热性[rè xìng]
febro;febr.0o;觱[bì]
febro;febr.0o;热病[rè bìng]
febro;febr.0o;热[rè]
fojnofebro;febr.fojno0o;过敏性鼻炎[guò mǐn xìng bí yán]
fojnofebro;febr.fojno0o;花粉过敏症[huā fěn guò mǐn zhèng]
fojnofebro;febr.fojno0o;花粉症[huā fěn zhèng]
fojnofebro;febr.fojno0o;枯草热[kū cǎo rè]
flava febro;;黃熱病[huáng rè bìng]
feĉo;fecx.0o.AGR;渣滓[zhā zǐ]
feĉo;fecx.0o.AGR;滓[zǐ]
feĉo;fecx.0o.AGR;渣[zhā]
federismo;feder.0ismo;联邦制[lián bāng zhì]
federismo;feder.0ismo;联邦主义[lián bāng zhǔ yì]
federacia;federa.0a;联邦[lián bāng]
federaciismo;federa.0ismo;联邦制[lián bāng zhì]
federaciismo;federa.0ismo;联邦主义[lián bāng zhǔ yì]
federacio;federa.0o;邦联制[bāng lián zhì]
federacio;federa.0o;盟国[méng guó]
federalismo;;联邦制[lián bāng zhì]
federalismo;;联邦主义[lián bāng zhǔ yì]
fek;fek.0;该死[gāi sǐ]
fekaĵo;;该死[gāi sǐ]
feki;fek.0i;屁話[pì huà]
feko;fek.0o;大小便[dà xiǎo biàn]
fekulo;fek.0ulo;傻逼[shǎ bī]
fekunda;fekund.0a;产量多[chǎn liàng duō]
fekunda;fekund.0a;富有成果[fù yǒu chéng guǒ]
fekunda;fekund.0a;肥沃[féi wò]
fekunda;fekund.0a;有效果的[yǒu xiào guǒ de]
fekunda;fekund.0a;富饒[fù ráo]
fekunda;fekund.0a;有成效的[yǒu chéng xiào de]
fekunda;fekund.0a;效果好[xiào guǒ hǎo]
fekunda;fekund.0a;多产[duō chǎn]
fekundeco;fekund.0eco;生育能力[shēng yù néng lì]
fekundeco;fekund.0eco;生育力[shēng yù lì]
fekundeco;fekund.0eco;人口出生率[rén kǒu chū shēng lü]
fekundeco;fekund.0eco;生殖力[shēng zhí lì]
fekundeco;fekund.0eco;肥力[féi lì]
fekundigaĵo;fekund.0igajxo.AGR;农家肥料[nóng jiā féi liào]
fekundigaĵo;fekund.0igajxo.AGR;肥料[féi liào]
malfekunda;fekund.mal0a.KOMUNE;不結實[bù jiē shi]
malfekunda;fekund.mal0a.KOMUNE;不生产[bù shēng chǎn]
malfekunda;fekund.mal0a.KOMUNE;不肥沃[bù féi wò]
malfekunda;fekund.mal0a.KOMUNE;不結子[bù jié zǐ]
malfekunda;fekund.mal0a.KOMUNE;沒有效果[méi yǒu xiào guǒ]
malfekunda;fekund.mal0a.KOMUNE;不孕[bù yùn]
malfekunda;fekund.mal0a.KOMUNE;結果不多[jié guǒ bù duō]
malfekunda;fekund.mal0a.KOMUNE;无益[wú yì]
malfekunda;fekund.mal0a.KOMUNE;荒芜[huāng wú]
malfekunda;fekund.mal0a.KOMUNE;沒有生育能力[méi yǒu shēng yù néng lì]
malfekunda;fekund.mal0a.KOMUNE;非生产[fēi shēng chǎn]
malfekunda;fekund.mal0a.KOMUNE;不多产[bù duō chǎn]
malfekundeco;fekund.mal0eco.KOMUNE;不毛[bù máo]
felano;fel.0ano;兽迷[shòu mí]
felo;fel.0o;兽皮[shòu pí]
felo;fel.0o;皮毛[pí máo]
felo;fel.0o;毛皮[máo pí]
felo;fel.0o;羊毛[yáng máo]
felo;fel.0o;毛[máo]
felo;fel.0o;皮草[pí cǎo]
Ora ŝaffelo;fel.Ora_sxaf0o;金羊毛[jīn yáng máo]
senfiligi;;胪[lú]
feldspato;feldsp.0o;長石[cháng shí]
feliĉa;felicx.0a;悆[yù]
feliĉa;felicx.0a;融融[róng róng]
feliĉa;felicx.0a;吉[jí]
feliĉa;felicx.0a;幸福[xìng fú]
feliĉa;felicx.0a;欣喜[xīn xǐ]
feliĉa;felicx.0a;邴[bǐng]
feliĉa;felicx.0a;欣[xīn]
feliĉe;felicx.0e.bonsxance;幸而[xìng ér]
feliĉe;felicx.0e.bonsxance;所幸的是[suǒ xìng de shì]
feliĉe;felicx.0e.bonsxance;侥幸[jiǎo xìng]
feliĉe;felicx.0e.bonsxance;有幸[yǒu xìng]
feliĉe;felicx.0e.bonsxance;侥幸地[jiǎo xìng de]
feliĉe;felicx.0e.bonsxance;幸好[xìng hǎo]
feliĉe;felicx.0e.bonsxance;幸喜[xìng xǐ]
feliĉe;felicx.0e.bonsxance;亏得[kuī de]
feliĉe;felicx.0e.bonsxance;好在[hǎo zài]
feliĉe;felicx.0e.bonsxance;辛亏[xīn kuī]
feliĉe;felicx.0e.bonsxance;万幸[wàn xìng]
feliĉe;felicx.0e.bonsxance;幸亏[xìng kuī]
feliĉe;felicx.0e.bonsxance;还好[hái hǎo]
feliĉe;felicx.0e.bonsxance;多亏[duō kuī]
feliĉigi;felicx.0igi;悅[yuè]
feliĉo;felicx.0o;际遇[jì yù]
feliĉo;felicx.0o;禠[sī]
feliĉo;felicx.0o;福佑[fú yòu]
feliĉo;felicx.0o;給與喜悅的東西[gěi yǔ xǐ yuè de dōng xi]
feliĉo;felicx.0o;祺[qí]
feliĉo;felicx.0o;祉[zhǐ]
feliĉo;felicx.0o;幸运[xìng yùn]
feliĉo;felicx.0o;时运[shí yùn]
malfeliĉa;felicx.mal0a;晦气[huì qì]
malfeliĉa;felicx.mal0a;不凑巧[bù còu qiǎo]
malfeliĉa;felicx.mal0a;不吉[bù jí]
malfeliĉa;felicx.mal0a;快快不乐[kuài kuài bù lè]
malfeliĉa;felicx.mal0a;不开心[bù kāi xīn]
malfeliĉa;felicx.mal0a;命苦[mìng kǔ]
malfeliĉa;felicx.mal0a;葸[xǐ]
malfeliĉe;felicx.mal0e;不幸地[bù xìng de]
malfeliĉe;felicx.mal0e;倒霉地[dǎo méi de]
malfeliĉo;felicx.mal0o;殃[yāng]
malfeliĉo;felicx.mal0o;不幸运[bù xìng yùn]
malfeliĉo;felicx.mal0o;运气不佳[yùn qi bù jiā]
malfeliĉo;felicx.mal0o;意外事故[yì wài shì gù]
malfeliĉo;felicx.mal0o;災禍[zāi huò]
malfeliĉo;felicx.mal0o;危难[wéi nàn]
malfeliĉo;felicx.mal0o;不走运[bù zǒu yùn]
malfeliĉo;felicx.mal0o;厄运[è yùn]
malfeliĉo;felicx.mal0o;背运[bèi yùn]
malfeliĉo;felicx.mal0o;恶运[è yùn]
malfeliĉo;felicx.mal0o;祸[huò]
malfeliĉo;felicx.mal0o;不幸[bù xìng]
felietono;feliet.0o;官方公報[guān fāng gōng bào]
felietono;feliet.0o;文艺小品栏[wén yì xiǎo pǐn lán]
felietono;feliet.0o;小品文[xiǎo pǐn wén]
Felikso;feliks.0o;費利克斯[fèi lì kè sī]
felto;felt.0o;毛毡[máo zhān]
felto;felt.0o;旃[zhān]
femala;femal.0a;女性化[nǚ xìng huà]
femala;femal.0a;牝[pìn]
femala;femal.0a;女性[nǚ xìng]
femala;femal.0a;雌[cī]
femino;femin.0o;女人[nǚ rén]
femino;femin.0o;女子[nǚ zǐ]
femino;femin.0o;女性[nǚ xìng]
femineno;;阴性[yīn xìng]
feminismo;femini.0o;女性主义[nǚ xìng zhǔ yì]
feminismo;femini.0o;女权主义[nǚ quán zhǔ yì]
femuro;;大腿[dà tuǐ]
femuro;;髀[bì]
fendego;fend.0ego;深谷[shēn gǔ]
fendego;fend.0ego;冲沟[chōng gōu]
fendego;fend.0ego;峡[xiá]
fendego;fend.0ego;谷地[gǔ dì]
fendego;fend.0ego;峡谷[xiá gǔ]
fendego;fend.0ego;裂[liè]
fendi;;砍[kǎn]
fendi;;斫[zhuó]
fendi;;裂解[liè jiě]
fendiĝi;;分裂[fēn liè]
fendo;fend.0o;填洞[tián dòng]
fendo;fend.0o;填补裂纹[tián bǔ liè wén]
fendo;fend.0o;去掉粗糙[qù diào cū cāo]
fendo;fend.0o;使光滑[shǐ guāng hua]
fendo;fend.0o;填坑[tián kēng]
fendo;fend.0o;裂隙[liè xì]
fendo;fend.0o;磨平[mó píng]
fendo;fend.0o;裂痕[liè hén]
fendo;fend.0o;隙[xì]
fendo;fend.0o;裂[liè]
montfendo;fend.mont0o;巇[xī]
montfendo;fend.mont0o;深谷[shēn gǔ]
montfendo;fend.mont0o;冲沟[chōng gōu]
orelfenda;fend.orel0a;震耳欲聋[zhèn ěr yù lóng]
orelfenda;fend.orel0a;尖銳刺耳[jiān ruì cì ěr]
orelfenda;fend.orel0a;震耳[zhèn ěr]
fenestro;fenest.0o;窗口[chuāng kǒu]
fenestro;fenest.0o;窗戶[chuāng hu]
fenestro;fenest.0o;窗[chuāng]
fenestro;fenest.0o;窗戶欞[chuāng hù líng]
fenestro;fenest.0o;楪[dié]
montrofenestro;fenest.montro0o;展覽櫥窗[zhǎn lǎn chú chuāng]
montrofenestro;fenest.montro0o;橱窗[chú chuāng]
tempofenestro;fenest.tempo0o;时程[shí chéng]
fenico;fenic.0o;腓尼基人[féi ní jī rén]
fenico;fenic.0o;腓尼基[féi ní jī]
Feniciano;fenici.0ano;腓尼基人[féi ní jī rén]
Feniciano;fenici.0ano;腓尼基[féi ní jī]
fenikoptero;feniko.0o;火烈鳥[huǒ liè niǎo]
fenikso;feniks.0o.MIT;凰[huáng]
fenikso;feniks.0o.MIT;不死鳥[bù sǐ niǎo]
fenikso;feniks.0o.MIT;丹鳥[dān niǎo]
fenikso;feniks.0o.MIT;鷟[zhuó]
fenikso;feniks.0o.MIT;凤[fèng]
fenikuro;fenikur.0o.genro;雷德斯达特[léi dé sī dá tè]
fenkolo;fenkol.0o;小茴香[xiǎo huí xiāng]
fenkolo;fenkol.0o;茴[huí]
fenkolo;fenkol.0o;茴香[huí xiāng]
fenolo;fenol.0o;石炭酸[shí tàn suān]
fenomena;fenome.0a;不寻常[bù xún cháng]
fenomena;fenome.0a;不理性[bù lǐ xìng]
fenomeno;fenome.0o;现象[xiàn xiàng]
fenomeno;fenome.0o;物候[wù hòu]
fenomenologio;;现象学[xiàn xiàng xué]
fenotipo;;显型[xiǎn xíng]
fera;fer.0a;鐵甲艦[tiě jiǎ jiàn]
feraĵo;fer.0ajxo;鐵製品[tiě zhì pǐn]
feraĵo;fer.0ajxo;鐵器[tiě qì]
fereca;fer.0eca;鐵質[tiě zhí]
ferhava;fer.0eca;鐵質[tiě zhí]
fero;fer.0o;鐡[tiě]
hufofero;fer.hufo0o;鐵掌[tiě zhǎng]
hufofero;fer.hufo0o;馬掌[mǎ zhǎng]
hufofero;fer.hufo0o;馬蹄鐵[mǎ tí tiě]
ferdeko;ferdek.0o;甲板[jiǎ bǎn]
Ferdinando;ferdinand.0o;費迪南德[fèi dí nán dé]
Ferdinando;ferdinand.0o;斐迪南[fěi dí nán]
ferianto;feri.0anto;度假者[dù jià zhě]
ferii;feri.0i;去度假[qù dù jià]
ferii;feri.0i;度假[dù jià]
ferii;feri.0i;休假[xiū jià]
ferii;feri.0i;渡假[dù jià]
fermaĵo;ferm.0ajxo.MAT;閉包[bì bāo]
fermi;ferm.0i;閉[bì]
fermi;ferm.0i;閘上[zhá shàng]
fermilo;ferm.0ilo;塞子[sāi zi]
fermita;ferm.0ita.FON;封閉系統[fēng bì xì tǒng]
fermita;ferm.0ita.FON;閉環系統[bì huán xì tǒng]
fermita;ferm.0ita.FON;关闭的[guān bì de]
fermita;ferm.0ita.FON;不公开[bù gōng kāi]
fermita;ferm.0ita.FON;团结一致[tuán jié yī zhì]
fermita;ferm.0ita.FON;封緘[fēng jiān]
fermita;ferm.0ita.FON;关上[guān shàng]
fermita;ferm.0ita.FON;坦然地[tǎn rán de]
fermita;ferm.0ita.FON;直率[zhí shuài]
fermita;ferm.0ita.FON;开放[kāi fàng]
fermo;ferm.0o;結算[jié suàn]
fermilo;;溜冰鞋[liū bīng xié]
ĉirkaŭfermi;ferm.cxirkaux0i;环抱[huán bào]
ĉirkaŭfermi;ferm.cxirkaux0i;扎[zā]
ĉirkaŭfermi;ferm.cxirkaux0i;拥抱[yǒng bào]
ĉirkaŭfermi;ferm.cxirkaux0i;围住[wéi zhù]
ĉirkaŭfermi;ferm.cxirkaux0i;闉[yīn]
enfermi;ferm.en0i;鎖好[suǒ hǎo]
enfermi;ferm.en0i;內含[nèi hán]
enfermi;ferm.en0i;围困[wéi kùn]
fulmofermilo;ferm.fulmo0ilo;拉鎖[lā suǒ]
fulmofermilo;ferm.fulmo0ilo;拉鏈[lā liàn]
fulmofermilo;ferm.fulmo0ilo;拉練[lā liàn]
ĵetfermi;ferm.jxet0i;咣[guāng]
malfermaĵo;ferm.mal0ajxo.KOMUNE;口[kǒu]
malfermaĵo;ferm.mal0ajxo.KOMUNE;觜[zuǐ]
malfermi;ferm.mal0i.eniro;开启[kāi qǐ]
malfermi;ferm.mal0i.eniro;开放[kāi fàng]
malfermi;ferm.mal0i.eniro;孔道[kǒng dào]
malfermi;ferm.mal0i.eniro;开幕[kāi mù]
malfermi;ferm.mal0i.eniro;成立[chéng lì]
malfermi;ferm.mal0i.eniro;辟[pì]
malfermi;ferm.mal0i.eniro;张开[zhāng kāi]
malfermiĝi;ferm.mal0igxi.KOMUNE;舒张开来[shū zhāng kāi lái]
malfermita;ferm.mal0ita.FON;开诚布公[kāi chéng bù gōng]
malfermita;ferm.mal0ita.FON;襟怀坦白[jīn huái tǎn bái]
malfermita;ferm.mal0ita.FON;半开半闭[bàn kāi bàn bì]
malfermita;ferm.mal0ita.FON;不公开[bù gōng kāi]
malfermita;ferm.mal0ita.FON;真誠坦率地[zhēn chéng tǎn shuài de]
malfermita;ferm.mal0ita.FON;霩[kuò]
malfermita;ferm.mal0ita.FON;封緘[fēng jiān]
malfermita;ferm.mal0ita.FON;豁[huò]
malfermita;ferm.mal0ita.FON;关上[guān shàng]
fermentado;fermen.0ado;发酵[fā jiào]
fermentado;fermen.0ado;酿造[niàng zào]
fermentado;fermen.0ado;发酵作用[fā jiào zuò yòng]
fermentado;fermen.0ado;大騷亂[dài sāo luàn]
fermento;fermen.0o.ago;发酵[fā jiào]
fermento;fermen.0o.ago;酿造[niàng zào]
fermio;fermi.0o;鐨[fèi]
fermiono;fermion.0o;費米子[fèi mǐ zǐ]
Fernando;fernand.0o;費迪南德[fèi dí nán dé]
Fernando;fernand.0o;斐迪南[fěi dí nán]
feroa;;法罗语[fǎ luó yǔ]
feroca;feroc.0a;冷酷地[lěng kù de]
feroca;feroc.0a;蓄意地[xù yì de]
feroca;feroc.0a;趮[zào]
feroca;feroc.0a;冷血[lěng xiě]
feroca;feroc.0a;冷酷[lěng kù]
ferolo;ferol.0o;兴渠[xìng qú]
feromono;feromon.0o;性外激素[xìng wài jī sù]
feromono;feromon.0o;荷尔蒙[hé ěr méng]
feromono;feromon.0o;外激素[wài jī sù]
feromono;feromon.0o;信息素[xìn xī sù]
fervora;fervor.0a;好勝[hào shèng]
fervora;fervor.0a;有热情[yǒu rè qíng]
fervora;fervor.0a;兇惡[xiōng è]
fervori;;強烈抨擊[qiáng liè pēng jī]
fervori;;热望[rè wàng]
fervori;;責罵[zé mà]
fervorigi;fervor.0igi;助阵[zhù zhèn]
fervorigi;fervor.0igi;助長[zhù zhǎng]
fervorigi;fervor.0igi;授意[shòu yì]
fervoro;fervor.0o;激情[jī qíng]
fervoro;fervor.0o;积极性[jī jí xìng]
fervoro;fervor.0o;热风[rè fēng]
fervoro;fervor.0o;热心[rè xīn]
fervorulo;fervor.0ulo;发烧友[fā shāo yǒu]
fervorulo;fervor.0ulo;热心家[rè xīn jiā]
fervorulo;fervor.0ulo;狂热者[kuáng rè zhě]
fervorulo;fervor.0ulo;迷[mí]
fervorulo;fervor.0ulo;控[kòng]
malfervora;fervor.mal0a;厌恶[yān è]
malfervora;fervor.mal0a;不乐意[bù lè yì]
malfervora;fervor.mal0a;不动情[bù dòng qíng]
malfervora;fervor.mal0a;不带感情[bù dài gǎn qíng]
festo;fest.0o;節日[jié rì]
festo;fest.0o;節慶[jié qìng]
festo;fest.0o;節[jié]
festo;fest.0o;派对[pài duì]
Festo de Laŭboj;fest.0odelauxboj;住棚節[zhù péng jié]
Dankofesto;fest.Danko0o;感恩[gǎn ēn]
Dankofesto;fest.Danko0o;收穫節[shōu huò jié]
Dankofesto;fest.Danko0o;收穫感恩節[shōu huò gǎn ēn jié]
Dankofesto;fest.Danko0o;感恩節[gǎn ēn jié]
Dankofesto;fest.Danko0o;丰年祭[fēng nián jì]
geedziĝofesto;;婚典礼[hūn diǎn lǐ]
geedziĝofesto;;喜酒[xǐ jiǔ]
maskofesto;fest.masko0o;化装舞会[huà zhuāng wǔ huì]
festeni;festen.0i;鑲木板[xiāng mù bǎn]
festeno;festen.0o;筳席[tíng xí]
festeno;festen.0o;酒席[jiǔ xí]
festeno;festen.0o;宴会[yàn huì]
festeno;festen.0o;盛宴[shèng yàn]
festeno;festen.0o;美餐[měi cān]
festeno;festen.0o;宴席[yàn xí]
festeno;festen.0o;宴[yàn]
festeno;festen.0o;晚宴[wǎn yàn]
festono;feston.0o.BELA;珰[dāng]
feto;fet.0o;胚[pēi]
feto;fet.0o;胎儿[tāi ér]
fetiĉismo;;拜物教[bài wù jiào]
fetiĉisto;feticx.0isto.pretendanto;巫医[wū yī]
fetiĉisto;feticx.0isto.pretendanto;巫师[wū shī]
fetiĉisto;feticx.0isto.kredanto;恋物癖[liàn wù pǐ]
fetiĉisto;feticx.0isto.kredanto;拜物教徒[bài wù jiào tú]
fetiĉo;feticx.0o.FIG;偶象[ǒu xiàng]
fetora;fetor.0a;臭的[chòu de]
fetora;fetor.0a;悶[mēn]
fetora;fetor.0a;臭烘烘[chòu hōng hōng]
fetiĉo;feticx.0o.REL;物神[wù shén]
fetori;fetor.0i;臭乎乎[chòu hū hū]
fetoro;fetor.0o;难闻的气味[nán wén de qì wèi]
fetori;;发臭[fā chòu]
feŭdismo;feuxd.0ismo;封建主义[fēng jiàn zhǔ yì]
feŭdismo;feuxd.0ismo;封建制度[fēng jiàn zhì dù]
feŭdismo;feuxd.0ismo;採邑制[cǎi yì zhì]
feŭdo;feuxd.0o;采地[cài dì]
feŭdo;feuxd.0o;采邑[cài yì]
feŭdulo;feuxd.0ulo;封臣[fēng chén]
fia;fi.0a;歹[dǎi]
fia;fi.0a;訑[yí]
fia;fi.0a;黑心[hēi xīn]
fia;fi.0a;吝啬[lìn sè]
fia;fi.0a;邪恶[xié è]
fia;fi.0a;孬[nāo]
fiaĵo;fi.0ajxo;噁[wù]
fianĉigi;fiancx.0igi;許配了[xǔ pèi liǎo]
fianĉinigi;fiancx.0igi;許配了[xǔ pèi liǎo]
fianĉiĝi;fiancx.0igxi;許婚[xǔ hūn]
fianĉiĝi;fiancx.0igxi;定婚[dìng hūn]
fianĉiniĝi;fiancx.0igxi;許婚[xǔ hūn]
fianĉiniĝi;fiancx.0igxi;定婚[dìng hūn]
fianĉiĝo;fiancx.0igxo;婚約[hūn yuē]
fianĉiniĝo;fiancx.0igxo;婚約[hūn yuē]
fianĉo;fiancx.0o.eventuala;嫖客[piáo kè]
fianĉo;fiancx.0o.eventuala;嫖[piáo]
fiaski;fiask.0i;誤[wù]
fiaski;fiask.0i;結果無效[jié guǒ wú xiào]
fiaski;;受挫[shòu cuò]
fiasko;fiask.0o;大失敗[dà shī bài]
fibro;fibr.0o;纖維[xiān wéi]
lumfibro;fibr.lum0o;光纖電纜[guāng xiān diàn lǎn]
fibulo;fibul.0o.ANA;腓骨[féi gǔ]
fidema;fid.0ema;私下談話[sī xià tán huà]
fidema;fid.0ema;肝胆相照[gān dǎn xiāng zhào]
fidema;fid.0ema;密[mì]
fidoplena;fid.0ema;肝胆相照[gān dǎn xiāng zhào]
fidi;fid.0i;信心[xìn xīn]
fidi;fid.0i;相信[xiāng xìn]
fidinda;fid.0inda;把稳[bǎ wěn]
fidinda;fid.0inda;可靠[kě kào]
fidinda;fid.0inda;信得过[xìn de guò]
fido;fid.0o;信任[xìn rèn]
fido;fid.0o;誠信[chéng xìn]
alfidi;fid.al0i;寄托[jì tuō]
alfidi;fid.al0i;属托[zhǔ tuō]
alfidi;fid.al0i;侂[tuō]
alfidi;fid.al0i;托付[tuō fù]
alfidi;fid.al0i;托[tuō]
malfidi;fid.mal0i;怀疑[huái yí]
malfidi;fid.mal0i;不信用[bù xìn yòng]
malfidi;fid.mal0i;嫌[xián]
malfido;fid.mal0o;不信[bù xìn]
malfido;fid.mal0o;不相信[bù xiāng xìn]
malfido;fid.mal0o;不信任[bù xìn rèn]
memfida;fid.mem0a;自信[zì xìn]
memfida;fid.mem0a;有自我意識[yǒu zì wǒ yì shì]
memfido;fid.mem0o;自信[zì xìn]
memfido;fid.mem0o;自信心[zì xìn xīn]
nefidinda;fid.ne0inda;靠不住[kào bu zhù]
nefidinda;fid.ne0inda;不可信[bù kě xìn]
nefidinda;fid.ne0inda;不可信賴[bù kě xìn lài]
nefidinda;fid.ne0inda;不精确[bù jīng què]
malfidinda;fid.ne0inda;靠不住[kào bu zhù]
malfidinda;fid.ne0inda;不可信[bù kě xìn]
malfidinda;fid.ne0inda;不可信賴[bù kě xìn lài]
malfidinda;fid.ne0inda;不精确[bù jīng què]
tromemfida;fid.tromem0a;驕縱[jiāo zòng]
tromemfida;fid.tromem0a;憍[jiāo]
tromemfida;fid.tromem0a;做大[zuò dà]
fidela;fidel.0a;忠[zhōng]
fidela;fidel.0a;忠实地[zhōng shí de]
fidela;fidel.0a;忠心[zhōng xīn]
fidela;fidel.0a;可信任[kě xìn rèn]
fidela;fidel.0a;忠实[zhōng shí]
fidela;fidel.0a;荩[jìn]
fidela;fidel.0a;坚贞[jiān zhēn]
fideleco;fidel.0eco;長情[cháng qíng]
malfidela;fidel.mal0a;不忠誠[bù zhōng chéng]
malfidela;fidel.mal0a;不老实[bù lǎo shí]
malfidela;fidel.mal0a;不忠实[bù zhōng shí]
verfidela;fidel.ver0a;逼真地[bī zhēn de]
verfidela;fidel.ver0a;基于实事[jī yú shí shì]
verfidela;fidel.ver0a;现实[xiàn shí]
fiera;fier.0a.pozitive;自豪[zì háo]
fiera;fier.0a.pozitive;高傲[gāo ào]
fiera;fier.0a.pozitive;驕[jiāo]
fiera;fier.0a.pozitive;自負[zì fù]
fiereco;fier.0eco;自傲[zì ào]
fiereco;fier.0eco;自大[zì dà]
fieri;fier.0i;搖頭擺尾[yáo tóu bǎi wěi]
malfiera;fier.mal0a.PSI;唯唯諾諾[wěi wěi nuò nuò]
malfiera;fier.mal0a.PSI;謙虛[qiān xū]
malfiera;fier.mal0a.PSI;恭順[gōng shùn]
trofiera;fier.tro0a.PSI;做大[zuò dà]
trofiera;fier.tro0a.PSI;驕傲自大[jiāo ào zì dà]
trofiera;fier.tro0a.PSI;不可一世的[bù kě yī shì de]
trofiera;fier.tro0a.PSI;自以为了不起[zì yǐ wéi liǎo bu qǐ]
trofiera;fier.tro0a.PSI;目中无人[mù zhōng wú rén]
trofiera;fier.tro0a.PSI;自負[zì fù]
trofiera;fier.tro0a.PSI;傲慢[ào màn]
figarbo;fig.0arbo;榕屬[róng shǔ]
figarbo;fig.0arbo;无花果树[wú huā guǒ shù]
figarbo;fig.0arbo;榕[róng]
figo;fig.0o;无花果[wú huā guǒ]
Figaro;;費加羅報[fèi jiā luó bào]
