-o;o.0;头[tou],頭[tou]
okazo;okaz.0o;頂目[dǐng mù],顶目[dǐng mù]
okazo;okaz.0o.MAT;事件[shì jiàn]
okazo;okaz.0o.bonsxanco;时机[shí jī],時機[shí jī]
okazo;okaz.0o.bonsxanco;机[jī],機[jī]
okazo;okaz.0o.bonsxanco;机会[jī huì],機會[jī huì]
okazo;okaz.0o.kazo;事件[shì jiàn]
okazo de urĝeco;okaz.0o_de_bezono;紧急事件[jǐn jí shì jiàn],緊急事件[jǐn jí shì jiàn]
okazo de urĝeco;okaz.0o_de_bezono;如果需要[rú guǒ xū yào]
okazo de urĝeco;okaz.0o_de_bezono;紧急情况[jǐn jí qíng kuàng],緊急情況[jǐn jí qíng kuàng]
okazo de urĝeco;okaz.0o_de_bezono;突发事件[tū fā shì jiàn],突發事件[tū fā shì jiàn]
okazo de urĝeco;okaz.0o_de_bezono;急要[jí yào]
okazo de urĝeco;okaz.0o_de_bezono;緩急[huǎn jí],缓急[huǎn jí]
aparta okazo;okaz.aparta0o;个案[gè àn],個案[gè àn]
elementa okazo;okaz.elementa0o;基本事件[jī běn shì jiàn]
en la okazo ke;okaz.en_la_0o_se;假若[jiǎ ruò]
feliĉokaze;okaz.felicx0e;侥幸[jiǎo xìng],僥倖[jiǎo xìng]
feliĉokaze;okaz.felicx0e;儌[jiǎo]
feliĉokaze;okaz.felicx0e;幸好[xìng hǎo]
feliĉokaze;okaz.felicx0e;幸而[xìng ér]
feliĉokaze;okaz.felicx0e;幸亏[xìng kuī],幸虧[xìng kuī]
ĝustokaze;okaz.gxust0e;恰好[qià hǎo]
ĝustokaze;okaz.gxust0e;正好[zhèng hǎo]
kunokazeco;okaz.kun0eco;巧合[qiǎo hé]
neniaokaze;okaz.neniu0e;严禁[yán jìn],嚴禁[yán jìn]
neniaokaze;okaz.neniu0e;决不[jué bù],決不[jué bù]
neniaokaze;okaz.neniu0e;並不[bìng bù],并不[bìng bù]
neniaokaze;okaz.neniu0e;毫不[háo bù]
porokaza;okaz.por0a;特設[tè shè],特设[tè shè]
porokaza;okaz.por0a.KOMUNE;之际[zhī jì],之際[zhī jì]
okcidenta;okcide.0a;西部[xī bù]
okcidenta;okcide.0a;往西[wǎng xī]
okcidentano;okcide.0ano;洋人[yáng rén]
okcidentano;okcide.0ano;西方人[Xī fāng rén]
okcidente de;okcide.0ede;西边[xī biān],西邊[xī biān]
okcidente de;okcide.0ede;以西[yǐ xī]
Okcidento;okcide.O0o;西方国家[xī fāng guó jiā],西方國家[xī fāng guó jiā]
Okcidento;okcide.O0o;西洋[xī yáng]
Okcidento;okcide.O0o;西方[Xī fāng]
Okcidento;okcide.O0o;西部[xī bù]
Okcidento;okcide.O0o;欧美[ōu měi],歐美[ōu měi]
okcipita osto;okcipi.0osto;枕骨[zhěn gǔ]
okcipitalo;okcipital.0o;枕骨[zhěn gǔ]
okcitana;okcitan.0a;欧西坦语[ōu xī tǎn yǔ],歐西坦語[ōu xī tǎn yǔ]
Okcitanio;okcitani.0o;奥克西塔尼[Ào kè xī tǎ ní],奧克西塔尼[Ào kè xī tǎ ní]
o kej;okej.0;不差[bù chà]
o kej;okej.0;好啊[hǎo à]
o kej;okej.0;行[xíng]
o kej;okej.0;俞[yú]
o kej;okej.0;認可[rèn kě],认可[rèn kě]
o kej;okej.0;好啦[hǎo la]
Oklahomo;oklahom.0o;俄克拉何馬[Á kè lā hé mǎ],俄克拉何马[Á kè lā hé mǎ]
Oklahomo;oklahom.0o;奥克拉荷马[Ào kè lā hé mǎ],奧克拉荷馬[Ào kè lā hé mǎ]
okro;okr.0o;赭[zhě]
okro;okr.0o;赭石[zhě shí]
oksalido;;酢浆草[zuò jiāng cǎo],酢漿草[zuò jiāng cǎo]
oksalidacoj;oksali1.0oj;酢浆草科[zuò jiāng cǎo kē],酢漿草科[zuò jiāng cǎo kē]
Oksfordo;oksford.0o.urbo;牛津[Niú jīn]
oksidi;oksid.0igi;氧化[yǎng huà]
oksido;oksid.0o;氧化物[yǎng huà wù]
oksido;oksid.0o;氧化盐[yǎng huà yán],氧化鹽[yǎng huà yán]
duoksido;oksid.du0o;二氧化物[èr yǎng huà wù]
oksigeno;oksige.0o;氧气[yǎng qì],氧氣[yǎng qì]
oksigeno;oksige.0o;氧[yǎng]
oksikoko;oksiko.0o;小紅莓[xiǎo hóng méi],小红莓[xiǎo hóng méi]
oksimoro;oksimor.0o;逆喻[nì yù]
oksitocino;oksitocin.0o;催生素[cuī shēng sù]
okto;okt.0o;八度[bā dù]
oktanto;oktant.0o;卦限[guà xiàn]
Oktanto;oktant.O0o;南极座[Nán jí zuò],南極座[Nán jí zuò]
oktavo;oktav.0o.KRI;八行詩[bā xíng shī],八行诗[bā xíng shī]
oktavo;oktav.0o.TIP;八开[bā kāi],八開[bā kāi]
oktavo;;八度[bā dù]
oktavo;;八开本[bā kāi běn],八開本[bā kāi běn]
oktavo;;八开纸[bā kāi zhǐ],八開紙[bā kāi zhǐ]
okulegi;okul.0egi;瞟[piǎo]
okulglobo;okul.0globo;眼珠子[yǎn zhū zi]
okulglobo;okul.0globo;眼球[yǎn qiú]
okulglobo;okul.0globo;睛[jīng]
okulglobo;okul.0globo;眼珠[yǎn zhū]
okulglobo;okul.0globo;眼珠儿[yǎn zhū r],眼珠兒[yǎn zhū r]
okulumi;okul.0i;眄[miǎn]
okulumi;okul.0i;流眄[liú miǎn]
okulumi;okul.0i;瞟[piǎo]
okulisto;okul.0isto;眼科医生[yǎn kē yī shēng],眼科醫生[yǎn kē yī shēng]
okulisto;okul.0isto;眼科医师[yǎn kē yī shī],眼科醫師[yǎn kē yī shī]
okulo;okul.0o;眼帘[yǎn lián],眼簾[yǎn lián]
okulo;okul.0o;眼目[yǎn mù]
okulo;okul.0o;目[mù]
okulo;okul.0o;眼[yǎn]
okulo;okul.0o;眼睛[yǎn jing]
okulo;okul.0o;眼圈[yǎn quān]
akraokula;okul.akr0a;眼快[yǎn kuài]
kunmetita okulo;okul.kunmetita0o;复眼[fù yǎn],複眼[fù yǎn]
propraokule;okul.propr0e;亲眼[qīn yǎn],親眼[qīn yǎn]
propraokule;okul.propr0e;目睹[mù dǔ]
unuokula;okul.unu0a;独眼[dú yǎn],獨眼[dú yǎn]
okulario;okular.0o;目鏡[mù jìng],目镜[mù jìng]
okulario;okular.0o;接目鏡[jiē yǎn jìng],接目镜[jiē yǎn jìng]
okulta;okult.0a;玄秘[xuán mì]
okulta;okult.0a;非自然[fēi zì rán]
okulta;okult.0a;玄妙[xuán miào]
okultismo;okult.0ismo;神祕學[shén mì xué],神秘学[shén mì xué]
okupado;okup.0ado;业[yè],業[yè]
okupado;okup.0ado;录用[lù yòng],錄用[lù yòng]
okupado;okup.0ado;有事[yǒu shì]
okupado;okup.0ado;鞅掌[yāng zhǎng]
okupi;okup.0i;佔據[zhàn jù],占据[zhàn jù]
okupi;okup.0i;佔用[zhàn yòng],占用[zhàn yòng]
okupi;okup.0i;占[zhàn]
okupi;okup.0i;据[jù],據[jù]
okupi;okup.0i;占地[zhàn dì]
okupi;okup.0i;攻佔[gōng zhàn],攻占[gōng zhàn]
okupi;okup.0i;据有[jù yǒu],據有[jù yǒu]
okupi;okup.0i;碌[lù]
okupiĝi;okup.0igxi;务[wù],務[wù]
okupiĝi;okup.0igxi;从事[cóng shì],從事[cóng shì]
okupiĝi;okup.0igxi;伏侍[fú shi]
okupo;okup.0o;业[yè],業[yè]
ekokupi;okup.ek0i;被佔領[bèi zhàn lǐng],被占领[bèi zhàn lǐng]
ekokupi;okup.ek0i;填空[tián kòng]
ekokupi;okup.ek0i;按需供应[àn xū gōng yìng],按需供應[àn xū gōng yìng]
ekokupi;okup.ek0i;飾釘[shì dìng],饰钉[shì dìng]
malokupi;okup.mal0i;撤出[chè chū]
malokupi;okup.mal0i;撤离[chè lí],撤離[chè lí]
malokupi;okup.mal0i;清场[qīng chǎng],清場[qīng chǎng]
malokupi;okup.mal0i;腾出[téng chū],騰出[téng chū]
malokupi;okup.mal0i;移开[yí kāi],移開[yí kāi]
malokupi;okup.mal0i;空出[kōng chū]
malokupi;okup.mal0i;讓出[ràng chū],让出[ràng chū]
malokupi;okup.mal0i;迁出[qiān chū],遷出[qiān chū]
senokupa;okup.sen0a;无业[wú yè],無業[wú yè]
senokupa;okup.sen0a;无所事事[wú suǒ shì shì],無所事事[wú suǒ shì shì]
senokupa;okup.sen0a;失业的[shī yè de],失業的[shī yè de]
senokupa;okup.sen0a;沒工作[méi gōng zuò],没工作[méi gōng zuò]
okupacii;okupaci.0i;侵佔[qīn zhàn],侵占[qīn zhàn]
okupacii;okupaci.0i;佔據[zhàn jù],占据[zhàn jù]
okupacii;okupaci.0i;占[zhàn]
okupacii;okupaci.0i;霸据[bà jù],霸據[bà jù]
okupacio;okupaci.0o;侵佔[qīn zhàn],侵占[qīn zhàn]
okupacio;okupaci.0o;佔領[zhàn lǐng],占领[zhàn lǐng]
olapodrido;olapodrid.0o;烩饭[huì fàn],燴飯[huì fàn]
olapodrido;olapodrid.0o;炖汤[dùn tāng],燉湯[dùn tāng]
olda;old.0a;古老[gǔ lǎo]
olda;old.0a;年迈[nián mài],年邁[nián mài]
olea;ole.0a;油[yóu]
olea;ole.0a;油乎乎[yóu hū hū]
olea;ole.0a;含油[hán yóu]
olei;ole.0i;塗油[tú yóu],涂油[tú yóu]
olei;ole.0i;塗油於[tú yóu yú],涂油于[tú yóu yú]
olei;ole.0i;抹油[mǒ yóu]
oleo;ole.0o;油[yóu]
oleo;ole.0o;油料[yóu liào]
dizeloleo;ole.gas0o;柴油[chái yóu]
olivoleo;ole.oliv0o;橄榄油[gǎn lǎn yóu],橄欖油[gǎn lǎn yóu]
palmoleo;ole.palm0o.KUI;棕榈油[zōng lú: yóu],棕櫚油[zōng lú: yóu]
palmoleo;ole.palm0o.KUI;棕榈油[zōng lǘ yóu],棕櫚油[zōng lǘ yóu]
sanktolei;ole.sankt0i;抹油膏[mǒ yóu gāo]
ŝtonoleo;ole.sxton0o;原油[yuán yóu]
ŝtonoleo;ole.sxton0o;石油[shí yóu]
oleacoj;oleac.0oj;木犀科[mù xī kē]
oleandro;oleand.0o;夹竹桃[jiā zhú táo],夾竹桃[jiā zhú táo]
olibano;oliban.0o;乳香[rǔ xiāng]
oligarkio;oligar.0o;寡头政治[guǎ tóu zhèng zhì],寡頭政治[guǎ tóu zhèng zhì]
oligarĥo;oligark.0o;寡头[guǎ tóu],寡頭[guǎ tóu]
oligoceno;oligoc.0o;渐新世[jiān xīn shì],漸新世[jiān xīn shì]
oligoceno;oligoc.0o;渐新统[jiān xīn tǒng],漸新統[jiān xīn tǒng]
oligoĥetoj;oligohx.0oj;寡毛綱[guǎ máo gāng],寡毛纲[guǎ máo gāng]
oligopolo;oligopol.0o;寡头垄断[guǎ tóu lǒng duàn],寡頭壟斷[guǎ tóu lǒng duàn]
oligopolo;oligopol.0o;寡头卖主垄断[guǎ tóu mài zhǔ lǒng duàn],寡頭賣主壟斷[guǎ tóu mài zhǔ lǒng duàn]
oligopolo;oligopol.0o;少极化[shǎo jí huà],少極化[shǎo jí huà]
Olimpiaj Ludoj;olimpi.0aj_Ludoj;奥运会[Ào yùn huì],奧運會[Ào yùn huì]
Olimpiaj Ludoj;olimpi.0aj_Ludoj;奥运[Ào yùn],奧運[Ào yùn]
Olimpiaj Ludoj;olimpi.0aj_Ludoj;奥运[ào yùn],奧運[ào yùn]
Olimpiaj Ludoj;olimpi.0aj_Ludoj;奥运会[ào yùn huì],奧運會[ào yùn huì]
Olimpiaj Ludoj;olimpi.0aj_Ludoj;奥林匹克[ào lín pǐ kè],奧林匹克[ào lín pǐ kè]
Olimpiaj Ludoj;olimpi.0aj_Ludoj;奥林匹克运动会[ào lín pǐ kè yùn dòng huì],奧林匹克運動會[ào lín pǐ kè yùn dòng huì]
Olimpiaj Ludoj;olimpi.0aj_Ludoj;奥林匹克运动会[Ào lín pǐ kè Yùn dòng huì],奧林匹克運動會[Ào lín pǐ kè Yùn dòng huì]
Olimpiaj Ludoj;olimpi.0aj_Ludoj;奥运赛[Ào yùn sài],奧運賽[Ào yùn sài]
Olimpiaj Ludoj;olimpi.0aj_Ludoj;古代奥林匹克运动会[gǔ dài ào lín pǐ kè yùn dòng huì],古代奧林匹克運動會[gǔ dài ào lín pǐ kè yùn dòng huì]
Olimpio;;奥运[ào yùn],奧運[ào yùn]
Olimpiko;olimpik.0o;奥运会[Ào yùn huì],奧運會[Ào yùn huì]
Olimpiko;olimpik.0o;奥运[Ào yùn],奧運[Ào yùn]
Olimpiko;olimpik.0o;奥林匹克运动会[Ào lín pǐ kè Yùn dòng huì],奧林匹克運動會[Ào lín pǐ kè Yùn dòng huì]
Olimpiko;olimpik.0o;奥运赛[Ào yùn sài],奧運賽[Ào yùn sài]
Olimpiko;olimpik.0o;奥运[ào yùn],奧運[ào yùn]
Somera Olimpiko;olimpik.somera0o;夏季奥林匹克运动会[xià jì ào lín pǐ kè yùn dòng huì],夏季奧林匹克運動會[xià jì ào lín pǐ kè yùn dòng huì]
Vintra Olimpiko;olimpik.vintra0o;冬奥会[dōng ào huì],冬奧會[dōng ào huì]
Vintra Olimpiko;olimpik.vintra0o;冬季奥林匹克运动会[dōng jì ào lín pǐ kè yùn dòng huì],冬季奧林匹克運動會[dōng jì ào lín pǐ kè yùn dòng huì]
olivujo;oliv.0arbo;橄榄[gǎn lǎn],橄欖[gǎn lǎn]
olivo;oliv.0o;橄榄[gǎn lǎn],橄欖[gǎn lǎn]
olivo;oliv.0o;榄[lǎn],欖[lǎn]
Olivero;oliver.0o;奥利弗[ào lì fú],奧利弗[ào lì fú]
olmeko;olmek.0o;奥尔梅克文明[ào ěr méi kè wén míng],奧爾梅克文明[ào ěr méi kè wén míng]
-ologi;ologi.0;学[xué],學[xué]
Omo;om.0o;乔治西蒙欧姆[qiáo zhì xī méng ōu mǔ],喬治西蒙歐姆[qiáo zhì xī méng ōu mǔ]
Omo;om.0o;格奥尔格欧姆[gé ào ěr gé ōu mǔ],格奧爾格歐姆[gé ào ěr gé ōu mǔ]
ommetro;om.o0metro.unuo;欧姆计[ōu mǔ jì],歐姆計[ōu mǔ jì]
omo;om.o0o;欧姆[ōu mǔ],歐姆[ōu mǔ]
omaĝi;omagx.0i;参拜[cān bài],參拜[cān bài]
omaĝi;omagx.0i;請安[qǐng ān],请安[qǐng ān]
omaĝi;omagx.0i;致敬[zhì jìng]
omaĝo;omagx.0o;敬意[jìng yì]
omaĝo;;敬礼[jìng lǐ],敬禮[jìng lǐ]
Omano;oman.0o;阿曼[Ā màn]
omaro;omar.0o;龍蝦[lóng xiā],龙虾[lóng xiā]
ombroriĉa;ombr.0a;荫[yìn],蔭[yìn]
ombroriĉa;ombr.0a;綠陰[lù: yīn],绿阴[lù: yīn]
ombroriĉa;ombr.0a;遮荫[zhē yìn],遮蔭[zhē yìn]
ombroriĉa;ombr.0a;遮阴[zhē yīn],遮陰[zhē yīn]
subombro;ombr.0ajxo;影[yǐng]
subombro;ombr.0ajxo;阴影[yīn yǐng],陰影[yīn yǐng]
ombri;ombr.0i;荫[yìn],蔭[yìn]
ombri;ombr.0i;在阴影中[zài yīn yǐng zhōng],在陰影中[zài yīn yǐng zhōng]
ombri;ombr.0i;紧盯[jǐn dīng],緊盯[jǐn dīng]
ombri;ombr.0i;荫蔽[yìn bì],蔭蔽[yìn bì]
ombro;ombr.0o;影[yǐng]
ombro;ombr.0o;阴影[yīn yǐng],陰影[yīn yǐng]
ombro;ombr.0o;影子[yǐng zi]
ombro;ombr.0o;黑影[hēi yǐng]
ombro;ombr.0o;暗影[àn yǐng]
ombro;ombr.0o;荫[yìn],蔭[yìn]
ombro;ombr.0o;樾[yuè]
ombro;ombr.0o;树荫[shù yìn],樹蔭[shù yìn]
ombro;ombr.0o;影儿[yǐng r],影兒[yǐng r]
ĉinaj ombroj;ombr.cxinaj0oj.TEA;皮影戏[pí yǐng xì],皮影戲[pí yǐng xì]
ombrelo;ombrel.0o;伞[sǎn],傘[sǎn]
ombrelo;ombrel.0o;雨伞[yǔ sǎn],雨傘[yǔ sǎn]
ombrelo;ombrel.0o;繖[sǎn]
ombrelo;ombrel.0o;旱伞[hàn sǎn],旱傘[hàn sǎn]
pluvombrelo;ombrel.pluv0o;伞[sǎn],傘[sǎn]
pluvombrelo;ombrel.pluv0o;雨伞[yǔ sǎn],雨傘[yǔ sǎn]
pluvombrelo;ombrel.pluv0o;繖[sǎn]
sunombrelo;ombrel.sun0o;阳伞[yáng sǎn],陽傘[yáng sǎn]
sunombrelo;ombrel.sun0o;旱伞[hàn sǎn],旱傘[hàn sǎn]
Omdurmano;omdurman.0o;恩图曼[ēn tú màn],恩圖曼[ēn tú màn]
omego;omeg.0o;奥米伽[ào mǐ gā],奧米伽[ào mǐ gā]
omego;omeg.0o;欧米伽[ōu mǐ gā],歐米伽[ōu mǐ gā]
omena;omen.0a;凶[xiōng]
omeno;omen.0o;預兆[yù zhào],预兆[yù zhào]
omeno;omen.0o;异兆[yì zhào],異兆[yì zhào]
omeno;omen.0o;禨[jī]
omeno;omen.0o;先兆[xiān zhào]
omeno;omen.0o;兆头[zhào tou],兆頭[zhào tou]
omeno;omen.0o;前兆[qián zhào]
omikrono;omikron.0o;奥密克戎[ào mì kè róng],奧密克戎[ào mì kè róng]
omikrono;omikron.0o;奥米可戎[ào mǐ kě róng],奧米可戎[ào mǐ kě róng]
omleto;omlet.0o;欧姆蛋[ōu mǔ dàn],歐姆蛋[ōu mǔ dàn]
omleto;omlet.0o;奄列[yǎn liè]
omleto;omlet.0o;煎蛋卷[jiān dàn juǎn]
omleto;omlet.0o;蛋包[dàn bāo]
omleto;omlet.0o;煎蛋卷[jiān dàn juǎn],煎蛋捲[jiān dàn juǎn]
omleto;omlet.0o;純蛋捲[chún dàn juǎn],纯蛋卷[chún dàn juǎn]
omleto;omlet.0o;活力蛋餅[huó lì dàn bǐng]
omleto;omlet.0o;薄烤餅[bó kǎo bǐng],薄烤饼[bó kǎo bǐng]
omnibuso;omnibu.0o;客車[kè chē],客车[kè chē]
Omsko;omsk.0o;鄂木斯克[è mù sī kè]
-on;on.0;分之[fēn zhī]
onda;ond.0a;波动[bō dòng],波動[bō dòng]
onda;ond.0a;瓦楞[wǎ léng]
onda;ond.0a;呈波浪形[chéng bō làng xíng]
ondadi;ond.0igxi;波动[bō dòng],波動[bō dòng]
ondadi;ond.0igxi;盪漾[dàng yàng],荡漾[dàng yàng]
ondadi;ond.0igxi;起伏[qǐ fú]
ondiĝo;ond.0igxo;波[bō]
ondiĝo;ond.0igxo;瀁[yàng]
ondo;ond.0o;浪[làng]
ondo;ond.0o;大浪[dà làng]
ondo;ond.0o;波[bō]
ondo;ond.0o;波浪[bō làng]
ondo;ond.0o;水波[shuǐ bō]
ondo;ond.0o;挡水板[dǎng shuǐ bǎn],擋水板[dǎng shuǐ bǎn]
ondo;ond.0o;巨浪[jù làng]
ondolinia;ond.0olinia;瓦楞[wǎ léng]
ondolinia;ond.0olinia;呈波浪形[chéng bō làng xíng]
marondego;ond.mar0ego;海啸[hǎi xiào],海嘯[hǎi xiào]
ondatro;ondatr.0o;麝香蔷薇[shè xiāng qiáng wéi],麝香薔薇[shè xiāng qiáng wéi]
ondatro;ondatr.0o;麝鼠[shè shǔ]
oni;oni.0;我人[wǒ rén]
oni;oni.0;人人[rén rén]
oni;oni.0;人们[rén men],人們[rén men]
oni;oni.0;有些人[yǒu xiē rén]
oni;oni.0;某些人[mǒu xiē rén]
oni;oni.0;每一个人[měi yī gè rén],每一個人[měi yī gè rén]
onia;oni.0a;普遍地[pǔ biàn de]
onikso;oniks.0o;縞瑪瑙[gǎo mǎ nǎo],缟玛瑙[gǎo mǎ nǎo]
onklino;onkl.0ino;伯母[bó mǔ]
onklino;onkl.0ino;姑妈[gū mā],姑媽[gū mā]
onklino;onkl.0ino;姨[yí]
onklino;onkl.0ino;姑姑[gū gu]
onklino;onkl.0ino;叔母[shū mǔ]
onklino;onkl.0ino;妗[jìn]
onklino;onkl.0ino;婶母[shěn mǔ],嬸母[shěn mǔ]
onklino;onkl.0ino;舅母[jiù mǔ]
onklo;onkl.0o;叔[shū]
onklo;onkl.0o;叔叔[shū shu]
onklo;onkl.0o;伯伯[bó bo]
onklo;onkl.0o;叔父[shū fù]
onklo;onkl.0o;舅[jiù]
onklo;onkl.0o;伯父[bó fù]
onklo;onkl.0o;姑夫[gū fu]
onkologo;onkolog.0o.MED;肿瘤医师[zhǒng liú yī shī],腫瘤醫師[zhǒng liú yī shī]
onkologio;onkologi.0o;肿瘤学[zhǒng liú xué],腫瘤學[zhǒng liú xué]
onomatopeo;onomat.0o;拟声[nǐ shēng],擬聲[nǐ shēng]
onomatopeo;onomat.0o;拟声词[nǐ shēng cí],擬聲詞[nǐ shēng cí]
onta;ont.0a;将来[jiāng lái],將來[jiāng lái]
onta;ont.0a;未來[wèi lái],未来[wèi lái]
Ontario;ontari.O0o;安大略省[Ān dà lu:è shěng]
ontogenio;ontogenez.0o;个体发生[gè tǐ fā shēng],個體發生[gè tǐ fā shēng]
ontologio;ontolo.0o;本体论[běn tǐ lùn],本體論[běn tǐ lùn]
n-opo;op.n0o;元組[yuán zǔ],元组[yuán zǔ]
unuopa;op.unu0a;单人[dān rén],單人[dān rén]
unuopa;op.unu0a;个别地[gè bié de],個別地[gè bié de]
opaka;opak.0a.FOT;瓀[ruǎn]
opaka;opak.0a.FOT;不透明[bù tòu míng]
opaka;opak.0a.FOT;不透光[bù tòu guāng]
opaka;opak.0a.FOT;不透光的[bù tòu guāng de]
opalo;opal.0o;蛋白石[dàn bái shí]
opcio;opci.0o;选择权[xuǎn zé quán],選擇權[xuǎn zé quán]
opcio;opci.0o;选项[xuǎn xiàng],選項[xuǎn xiàng]
valorpapera opcio;opci.akcia0o;期权[qī quán],期權[qī quán]
valorpapera opcio;opci.akcia0o;选择权[xuǎn zé quán],選擇權[xuǎn zé quán]
akcia opcio;opci.akcia0o;期权[qī quán],期權[qī quán]
operejo;oper.0ejo;歌剧院[gē jù yuàn],歌劇院[gē jù yuàn]
opereto;oper.0eto;小型輕鬆歌劇[xiǎo xíng qīng sōng gē jù],小型轻松歌剧[xiǎo xíng qīng sōng gē jù]
opereto;oper.0eto;滑稽歌剧[huá ji gē jù],滑稽歌劇[huá ji gē jù]
opereto;oper.0eto;輕歌劇[qīng gē jù],轻歌剧[qīng gē jù]
opero;oper.0o;歌剧[gē jù],歌劇[gē jù]
miksopero;oper.duon0o;音乐剧[yīn yuè jù],音樂劇[yīn yuè jù]
operaciejo;operac.0ejo.KIR;手术室[shǒu shù shì],手術室[shǒu shù shì]
operacii;operac.0i;操作[cāo zuò]
operacii;operac.0i;运转[yùn zhuǎn],運轉[yùn zhuǎn]
operacio;operac.0o;手术[shǒu shù],手術[shǒu shù]
operacio;operac.0o.KOMP;作业[zuò yè],作業[zuò yè]
operaciumo;operac.0umo;操作系統[cāo zuò xì tǒng],操作系统[cāo zuò xì tǒng]
operaciumo;operac.0umo;作业系统[zuò yè xì tǒng],作業系統[zuò yè xì tǒng]
operaco;operac1.0o.MIL;军事行动[jūn shì xíng dòng],軍事行動[jūn shì xíng dòng]
operatoro;operat.0o;算符[suàn fú]
laplaca operatoro;operat.laplaca0o;拉普拉斯算子[lā pǔ lā sī suàn zǐ]
operkulo;operkul.0o;厣[yǎn],厴[yǎn]
opio;opi.0o;鴉片[yā piàn],鸦片[yā piàn]
opio;opi.0o;阿芙蓉[ā fú róng]
opio;opi.0o;大烟[dà yān],大煙[dà yān]
opio;opi.0o;阿片[ā piàn]
opio;opi.0o;福壽膏[fú shòu gāo],福寿膏[fú shòu gāo]
opiniama;opini.0ema;宣传性[xuān chuán xìng],宣傳性[xuān chuán xìng]
opiniama;opini.0ema;有倾向性[yǒu qīng xiàng xìng],有傾向性[yǒu qīng xiàng xìng]
opinii;opini.0i;認為[rèn wéi],认为[rèn wéi]
opinii;opini.0i;主张[zhǔ zhāng],主張[zhǔ zhāng]
opinio;opini.0o;看法[kàn fǎ]
opinio;opini.0o;主张[zhǔ zhāng],主張[zhǔ zhāng]
opinio;opini.0o;意思[yì si]
opinio;opini.0o;見地[jiàn dì],见地[jiàn dì]
opinio;opini.0o;見解[jiàn jiě],见解[jiàn jiě]
opinio;opini.0o;議[yì],议[yì]
opinio;opini.0o;觀點[guān diǎn],观点[guān diǎn]
opinio;opini.0o;言論[yán lùn],言论[yán lùn]
aparta opinio;opini.aparta0o;停止支付的通知[tíng zhǐ zhī fù de tōng zhī]
laŭ mia opinio;opini.mia0e;在我看來[zài wǒ kàn lái],在我看来[zài wǒ kàn lái]
laŭ mia opinio;opini.mia0e;依我看[yī wǒ kàn]
ĝenerala opinio;opini.publika0o;民意[mín yì]
ĝenerala opinio;opini.publika0o;公判[gōng pàn]
ĝenerala opinio;opini.publika0o;公众舆论[gōng zhòng yú lùn],公眾輿論[gōng zhòng yú lùn]
ĝenerala opinio;opini.publika0o;舆论[yú lùn],輿論[yú lùn]
ĝenerala opinio;opini.publika0o;公論[gōng lùn],公论[gōng lùn]
samopinieco;opini.sam0eco;一致[yī zhì]
samopinieco;opini.sam0eco;洽[qià]
samopinieco;opini.sam0eco;共識[gòng shì],共识[gòng shì]
samopinieco;opini.sam0eco;意見一致[yì jiàn yī zhì],意见一致[yì jiàn yī zhì]
samopinii;opini.sam0i;契合[qì hé]
samopinii;opini.sam0i;龤[xié]
samopinii;opini.sam0i;荅[dá]
samopinii;opini.sam0i;合乎[hé hū]
oponulo;opon.0anto;对头[duì tou],對頭[duì tou]
oponulo;opon.0anto;对手[duì shǒu],對手[duì shǒu]
oponulo;opon.0anto;政敌[zhèng dí],政敵[zhèng dí]
oponulo;opon.0anto;对抗者[duì kàng zhě],對抗者[duì kàng zhě]
oponi;opon.0i;对立[duì lì],對立[duì lì]
oponi;opon.0i;抗拒[kàng jù]
oponi;opon.0i;逆[nì]
oponi;opon.0i;咈[fú]
oponi;opon.0i;撄[yīng],攖[yīng]
oponi;opon.0i;抵抗[dǐ kàng]
oportuna;oportu.0a;便宜[biàn yí]
oportuna;oportu.0a;恰当[qià dàng],恰當[qià dàng]
oportuna;oportu.0a;适当[shì dàng],適當[shì dàng]
oportuna;oportu.0a;实用[shí yòng],實用[shí yòng]
oportunaĵo;oportu.0ajxo;亲切[qīn qiè],親切[qīn qiè]
oportuneco;oportu.0eco;合适[hé shì],合適[hé shì]
oportuneco;oportu.0eco;适宜性[shì yí xìng],適宜性[shì yí xìng]
oportuneco;oportu.0eco;适用性[shì yòng xìng],適用性[shì yòng xìng]
oportunismo;oportu.0ismo;机会主义[jī huì zhǔ yì],機會主義[jī huì zhǔ yì]
oportunismo;oportu.0ismo;投机主义[tóu jī zhǔ yì],投機主義[tóu jī zhǔ yì]
oportunisto;oportu.0isto;姑息者[gū xī zhě]
oportunisto;oportu.0isto;投机分子[tóu jī fèn zǐ],投機分子[tóu jī fèn zǐ]
oportunisto;oportu.0isto;机会主义者[jī huì zhǔ yì zhě],機會主義者[jī huì zhǔ yì zhě]
oportunisto;oportu.0isto;墙头草[qiáng tóu cǎo],牆頭草[qiáng tóu cǎo]
oportunisto;oportu.0isto;順應時勢者[shùn yìng shí shì zhě],顺应时势者[shùn yìng shí shì zhě]
oportunisto;oportu.0isto;騎牆主義者[qí qiáng zhǔ yì zhě],骑墙主义者[qí qiáng zhǔ yì zhě]
oportuno;oportu.0o;时机[shí jī],時機[shí jī]
oportuno;oportu.0o;商机[shāng jī],商機[shāng jī]
oportuno;oportu.0o;机会[jī huì],機會[jī huì]
oportuno;oportu.0o;机缘[jī yuán],機緣[jī yuán]
