#kap	mrk	lng	trd	ind
pa	pa.0	fr		bah !
paŝo	pasx.0o.de_helico	de		Ganghöhe
paŝo	pasx.0o.de_helico	en	pitch (of a helix)	pitch
paŝo	pasx.0o.de_helico	fr	pas (d'une hélice)	pas
paŝo	pasx.0o.de_helico	de		Schritt
paŝo	pasx.0o.de_helico	fr	pas (fait en marchant)	pas
paŝstango	pasx.0stango	de		Stelze
paŝstango	pasx.0stango	fr	échasse (pour marcher)	échasse
alpaŝi	pasx.al0i	fr		approcher
alpaŝi	pasx.al0i.FIG	de		angehen
alpaŝi	pasx.al0i.FIG	de	zur Tat schreiten	schreiten
alpaŝi	pasx.al0i.FIG	fr		approcher
alpaŝi	pasx.al0i.KOMUNE	de		hin gehen
alpaŝi	pasx.al0i.KOMUNE	de		heran nahen
alpaŝi	pasx.al0i.KOMUNE	de		näher kommen
alpaŝi	pasx.al0i.KOMUNE	fr		approcher
elpaŝi	pasx.el0i	fr		sortir du rang
elpaŝi	pasx.el0i	fr	intervenir (dans une discussion etc.)	intervenir
elpaŝi	pasx.el0i.eliri	de	heraus treten	treten
elpaŝi	pasx.el0i.eliri	fr		sortir du rang
elpaŝi	pasx.el0i.eliri	fr	intervenir (dans une discussion etc.)	intervenir
elpaŝi	pasx.el0i.iniciati	de	kommen (mit etwas)	kommen
elpaŝi	pasx.el0i.iniciati	fr		sortir du rang
elpaŝi	pasx.el0i.iniciati	fr	intervenir (dans une discussion etc.)	intervenir
elpaŝi	pasx.el0i.publike	de	heraus kommen (mit etwas)	kommen
elpaŝi	pasx.el0i.publike	de	antreten (gegen, mit etwas)	antreten
elpaŝi	pasx.el0i.publike	fr		sortir du rang
elpaŝi	pasx.el0i.publike	fr	intervenir (dans une discussion etc.)	intervenir
mispaŝo	pasx.mis0o	de		Fehltritt
mispaŝo	pasx.mis0o	en		misstep
mispaŝo	pasx.mis0o	fr		faux-pas
mispaŝo	pasx.mis0o.FIG	de		Fehltritt
mispaŝo	pasx.mis0o.FIG	en		misstep
mispaŝo	pasx.mis0o.FIG	fr		faux-pas
mispaŝo	pasx.mis0o.stumblo	de		Fehltritt
mispaŝo	pasx.mis0o.stumblo	en		misstep
mispaŝo	pasx.mis0o.stumblo	fr		faux-pas
superpaŝi	pasx.super0i	de		überschreiten
transpaŝi	pasx.super0i	de		überschreiten
superpaŝi	pasx.super0i	fr		dépasser
transpaŝi	pasx.super0i	fr		dépasser
superpaŝi	pasx.super0i	fr		enjamber
transpaŝi	pasx.super0i	fr		enjamber
superpaŝi	pasx.super0i.KOMUNE	de		überschreiten
transpaŝi	pasx.super0i.KOMUNE	de		überschreiten
superpaŝi	pasx.super0i.KOMUNE	fr		dépasser
transpaŝi	pasx.super0i.KOMUNE	fr		dépasser
superpaŝi	pasx.super0i.KOMUNE	fr		enjamber
transpaŝi	pasx.super0i.KOMUNE	fr		enjamber
ŝtelpaŝa	pasx.sxtel0a	de		schleichend
ŝtelpaŝa	pasx.sxtel0a	fr	allant à pas de loup	à pas de loup
ŝtelpaŝa	pasx.sxtel0a	fr	discret (se déplaçant sans bruit)	discret
ŝtelpaŝa	pasx.sxtel0a.KOMUNE	de		schleichend
ŝtelpaŝa	pasx.sxtel0a.KOMUNE	fr	allant à pas de loup	à pas de loup
ŝtelpaŝa	pasx.sxtel0a.KOMUNE	fr	discret (se déplaçant sans bruit)	discret
paŝao	pasxa.0o	de		Pascha
paŝao	pasxa.0o	en		pasha
paŝao	pasxa.0o	fr		pacha
paŝao	pasxa.0o.POL	de		Pascha
paŝao	pasxa.0o.POL	en		pasha
paŝao	pasxa.0o.POL	fr		pacha
paŝtataro	pasxt.0ataro	de		Herde
paŝtataro	pasxt.0ataro	de		Viehherde
paŝtataro	pasxt.0ataro	fr		bétail
paŝtataro	pasxt.0ataro	fr		troupeau
paŝtataro	pasxt.0ataro.AGR	de		Herde
paŝtataro	pasxt.0ataro.AGR	de		Viehherde
paŝtataro	pasxt.0ataro.AGR	fr		bétail
paŝtataro	pasxt.0ataro.AGR	fr		troupeau
paŝtejo	pasxt.0ejo	de		Weide
paŝtiĝejo	pasxt.0ejo	de		Weide
paŝtejo	pasxt.0ejo	fr		pâturage
paŝtiĝejo	pasxt.0ejo	fr		pâturage
paŝtejo	pasxt.0ejo	fr	pâture (pâturage)	pâture
paŝtiĝejo	pasxt.0ejo	fr	pâture (pâturage)	pâture
paŝtejo	pasxt.0ejo	en		pasture
paŝtiĝejo	pasxt.0ejo	en		pasture
paŝtejo	pasxt.0ejo.AGR	de		Weide
paŝtiĝejo	pasxt.0ejo.AGR	de		Weide
paŝtejo	pasxt.0ejo.AGR	fr		pâturage
paŝtiĝejo	pasxt.0ejo.AGR	fr		pâturage
paŝtejo	pasxt.0ejo.AGR	fr	pâture (pâturage)	pâture
paŝtiĝejo	pasxt.0ejo.AGR	fr	pâture (pâturage)	pâture
paŝtejo	pasxt.0ejo.AGR	en		pasture
paŝtiĝejo	pasxt.0ejo.AGR	en		pasture
paŝti	pasxt.0i	de	weiden lassen	weiden
paŝti	pasxt.0i	de	hegen (weiden)	hegen
paŝti	pasxt.0i	en	(take to) pasture	pasture
paŝti	pasxt.0i	en		shepherd
paŝti	pasxt.0i	fr	faire paitre	paitre
paŝti	pasxt.0i.AGR	de	weiden lassen	weiden
paŝti	pasxt.0i.AGR	de	hegen (weiden)	hegen
paŝti	pasxt.0i.AGR	en	(take to) pasture	pasture
paŝti	pasxt.0i.AGR	en		shepherd
paŝti	pasxt.0i.AGR	fr	faire paitre	paitre
paŝtiĝi	pasxt.0igxi	de		weiden
paŝtiĝi	pasxt.0igxi	fr	paitre (intr.)	paitre
paŝtiĝi	pasxt.0igxi.AGR	de		weiden
paŝtiĝi	pasxt.0igxi.AGR	fr	paitre (intr.)	paitre
paŝtisto	pasxt.0isto	de		Hirte
paŝtisto	pasxt.0isto	fr		berger
paŝtisto	pasxt.0isto	fr		pâtre
paŝtisto	pasxt.0isto	en		herder, shepherd
paŝtisto	pasxt.0isto.AGR	de		Hirte
paŝtisto	pasxt.0isto.AGR	fr		berger
paŝtisto	pasxt.0isto.AGR	fr		pâtre
paŝtisto	pasxt.0isto.AGR	en		herder, shepherd
somerpaŝtejo	pasxt.somer0ejo	de		Sommerweide
somerpaŝtejo	pasxt.somer0ejo	de		Alm
somerpaŝtejo	pasxt.somer0ejo	fr		alpage
somerpaŝtejo	pasxt.somer0ejo	fr		pâturage estival
somerpaŝtejo	pasxt.somer0ejo.AGR	de		Sommerweide
somerpaŝtejo	pasxt.somer0ejo.AGR	de		Alm
somerpaŝtejo	pasxt.somer0ejo.AGR	fr		alpage
somerpaŝtejo	pasxt.somer0ejo.AGR	fr		pâturage estival
paŝtelaĵo	pasxte.0ajxo	de		Pastellgemälde
paŝtelaĵo	pasxte.0ajxo	en		pastel
paŝtelaĵo	pasxte.0ajxo	fr		pastel
paŝtelo	pasxte.0o	en		pastel
paŝtelo	pasxte.0o	fr		pastel
paŝtelo	pasxte.0o.ajxo	de		Pastellgemälde
paŝtelo	pasxte.0o.ajxo	en		pastel
paŝtelo	pasxte.0o.ajxo	fr		pastel
paŝtelo	pasxte.0o.ilo	de		Pastellstift
paŝtelo	pasxte.0o.ilo	en		pastel
paŝtelo	pasxte.0o.ilo	fr		pastel
pato	pat.0o	de		Pfanne
pato	pat.0o	de		Tiegel
pato	pat.0o	en		pan
pato	pat.0o	fr		poêle
pato	pat.0o.KUI	de		Pfanne
pato	pat.0o.KUI	de		Tiegel
pato	pat.0o.KUI	en		pan
pato	pat.0o.KUI	fr		poêle
pato	pat1.0o	de		Patt
pato	pat1.0o	en		stalemate
pato	pat1.0o	fr		pat
patelo	patel.0o	de		Kniescheibe
patelo	patel.0o	en		patella
patelo	patel.0o	en		kneecap
patelo	patel.0o	fr		rotule
patelo	patel.0o.ANA	de		Kniescheibe
patelo	patel.0o.ANA	en		patella
patelo	patel.0o.ANA	en		kneecap
patelo	patel.0o.ANA	fr		rotule
patelo	patel1.0o	de		Napfschnecke
patelo	patel1.0o	en		limpet
patelo	patel1.0o	fr		bernacle
patelo	patel1.0o	fr		bernique
patelo	patel1.0o	fr	patelle (coquillage)	patelle
patelo	patel1.0o.ZOO	de		Napfschnecke
patelo	patel1.0o.ZOO	en		limpet
patelo	patel1.0o.ZOO	fr		bernacle
patelo	patel1.0o.ZOO	fr		bernique
patelo	patel1.0o.ZOO	fr	patelle (coquillage)	patelle
patenti	patent.0i	de		patentieren
patenti	patent.0i	en		patent
patenti	patent.0i	fr		breveter
patento	patent.0o	de		Patent
patento	patent.0o	en		patent
patento	patent.0o	fr	brevet (d'invention)	brevet
patino	patin.0o	de		Patina
patino	patin.0o	de		Verwitterungsspuren
patino	patin.0o	en		patina
patino	patin.0o	fr		patine
patino	patin.0o.KEM	de		Patina
patino	patin.0o.KEM	de		Verwitterungsspuren
patino	patin.0o.KEM	en		patina
patino	patin.0o.KEM	fr		patine
patogena	patogen.0a	de		pathogen
patogena	patogen.0a	en		pathogen
patogena	patogen.0a	fr		pathogène
patologio	patolo.0o	de		Pathologie
patologio	patolo.0o	en		pathology
patologio	patolo.0o	fr		pathologie
patologio	patolo.0o.fako	de		Pathologie
patologio	patolo.0o.fako	en		pathology
patologio	patolo.0o.fako	fr		pathologie
patologio	patolo.0o.procezo	de		Pathologie
patologio	patolo.0o.procezo	en		pathology
patologio	patolo.0o.procezo	fr		pathologie
patologo	patolo1.0o	en		pathologist
patologo	patolo1.0o	fr		pathologiste
patologo	patolo1.0o.MED	de		Pathologe
patologo	patolo1.0o.MED	en		pathologist
patologo	patolo1.0o.MED	fr		pathologiste
patosa	patos.0a	en		emotional
patosa	patos.0a	en		impassioned
patosa	patos.0a	en		passionate
patosa	patos.0a	en		pathetic
patosa	patos.0a	fr		grandiloquent
patosa	patos.0a	fr	pathétique (adj.)	pathétique
patosa	patos.0a	fr	réthorique (adj.)	réthorique
patosa	patos.0a.BELA	en		emotional
patosa	patos.0a.BELA	en		impassioned
patosa	patos.0a.BELA	en		passionate
patosa	patos.0a.BELA	en		pathetic
patosa	patos.0a.BELA	fr		grandiloquent
patosa	patos.0a.BELA	fr	pathétique (adj.)	pathétique
patosa	patos.0a.BELA	fr	réthorique (adj.)	réthorique
patoso	patos.0o	de		Pathos
patoso	patos.0o	en		passion
patoso	patos.0o	en		feeling
patoso	patos.0o	en		bombast
patoso	patos.0o	en		rant
patoso	patos.0o	en		fervor
patoso	patos.0o	en		expression
patoso	patos.0o	fr		grandiloquence
patoso	patos.0o	fr	pathétique (subst.)	pathétique
patoso	patos.0o.BELA	de		Pathos
patoso	patos.0o.BELA	en		passion
patoso	patos.0o.BELA	en		feeling
patoso	patos.0o.BELA	en		bombast
patoso	patos.0o.BELA	en		rant
patoso	patos.0o.BELA	en		fervor
patoso	patos.0o.BELA	en		expression
patoso	patos.0o.BELA	fr		grandiloquence
patoso	patos.0o.BELA	fr	pathétique (subst.)	pathétique
patreco	patr.0eco	de		Väterlichkeit
patreco	patr.0eco	fr		paternité
patreco	patr.0eco.FIG	de		Väterlichkeit
patreco	patr.0eco.FIG	fr		paternité
patreco	patr.0eco.KOMUNE	de		Vaterschaft
patreco	patr.0eco.KOMUNE	en		fatherhood
patreco	patr.0eco.KOMUNE	en		paternity
patreco	patr.0eco.KOMUNE	de		Väterlichkeit
patreco	patr.0eco.KOMUNE	fr		paternité
patri	patr.0i	de	wie ein Vater umsorgen	umsorgen
patri	patr.0i	fr	se conduire comme un père pour...	père
patri	patr.0i.KOMUNE	de	wie ein Vater umsorgen	umsorgen
patri	patr.0i.KOMUNE	fr	se conduire comme un père pour...	père
patrineco	patr.0ineco	fr	maternité (état, sentiment de mère)	maternité
patrineco	patr.0ineco.FIG	fr	maternité (état, sentiment de mère)	maternité
patrineco	patr.0ineco.KOMUNE	de		Mutterschaft
patrineco	patr.0ineco.KOMUNE	en		motherhood
patrineco	patr.0ineco.KOMUNE	en		maternity
patrineco	patr.0ineco.KOMUNE	fr	maternité (état, sentiment de mère)	maternité
patrujo	patr.0ujo	de		Vaterland
patrujo	patr.0ujo	en		motherland
patrujo	patr.0ujo	en		fatherland
patrujo	patr.0ujo	fr		patrie
patrujo	patr.0ujo.GEOG	de		Vaterland
patrujo	patr.0ujo.GEOG	en		motherland
patrujo	patr.0ujo.GEOG	en		fatherland
patrujo	patr.0ujo.GEOG	fr		patrie
Patronia	patr.P0onia	de		Vaterunser
Patronia	patr.P0onia	en		Lord's Prayer
Patronia	patr.P0onia	fr		Notre Père
adopta patrino	patr.adopta0ino	de		Adoptivmutter
adopta patrino	patr.adopta0ino	en		adoptive mother
adopta patrino	patr.adopta0ino	fr		mère adoptive
adopta patrino	patr.adopta0ino.GEN	de		Adoptivmutter
adopta patrino	patr.adopta0ino.GEN	en		adoptive mother
adopta patrino	patr.adopta0ino.GEN	fr		mère adoptive
adopta patro	patr.adopta0o	de		Adoptivvater
adopta patro	patr.adopta0o	en		adoptive father
adopta patro	patr.adopta0o	fr		père adoptif
adopta patro	patr.adopta0o.GEN	de		Adoptivvater
adopta patro	patr.adopta0o.GEN	en		adoptive father
adopta patro	patr.adopta0o.GEN	fr		père adoptif
bopatrino	patr.bo0ino	de		Schwiegermutter
bopatrino	patr.bo0ino	en		mother-in-law
bopatrino	patr.bo0ino	fr	belle-mère (par alliance)	belle-mère
bopatrino	patr.bo0ino.aledza	de		Schwiegermutter
bopatrino	patr.bo0ino.aledza	en		mother-in-law
bopatrino	patr.bo0ino.aledza	fr	belle-mère (par alliance)	belle-mère
bopatro	patr.bo0o	de		Schwiegervater
bopatro	patr.bo0o	en		father-in-law
bopatro	patr.bo0o	fr	beau-père (par alliance)	beau-père
bopatro	patr.bo0o.aledza	de		Schwiegervater
bopatro	patr.bo0o.aledza	en		father-in-law
bopatro	patr.bo0o.aledza	fr	beau-père (par alliance)	beau-père
bogepatroj	patr.boge0oj	de		Schwiegereltern
bogepatroj	patr.boge0oj	en		in-laws
bogepatroj	patr.boge0oj	fr	beau-parents (beau-père et belle-mère)	beau-parents
bogepatroj	patr.boge0oj.aledzaj	de		Schwiegereltern
bogepatroj	patr.boge0oj.aledzaj	en		in-laws
bogepatroj	patr.boge0oj.aledzaj	fr	beau-parents (beau-père et belle-mère)	beau-parents
duonpatrino	patr.duon0ino	de		Stiefmutter
duonpatrino	patr.duon0ino	en		stepmother
duonpatrino	patr.duon0ino	fr	belle-mère (épouse du père)	belle-mère
duonpatrino	patr.duon0ino.GEN	de		Stiefmutter
duonpatrino	patr.duon0ino.GEN	en		stepmother
duonpatrino	patr.duon0ino.GEN	fr	belle-mère (épouse du père)	belle-mère
duonpatro	patr.duon0o	de		Stiefvater
duonpatro	patr.duon0o	en		stepfather
duonpatro	patr.duon0o	fr	beau-père (époux de la mère)	beau-père
duonpatro	patr.duon0o.GEN	de		Stiefvater
duonpatro	patr.duon0o.GEN	en		stepfather
duonpatro	patr.duon0o.GEN	fr	beau-père (époux de la mère)	beau-père
gepatro	patr.ge0o	de		Elternteil
gepatro	patr.ge0o	en		parent
gepatro	patr.ge0o	fr	parent (père ou mère)	parent
gepatro	patr.ge0o.GEN	de		Elternteil
gepatro	patr.ge0o.GEN	en		parent
gepatro	patr.ge0o.GEN	fr	parent (père ou mère)	parent
gepatroj	patr.ge0oj	NULL	NULL	NULL
prapatrino	patr.pra0ino	de		Vorfahrin
prapatrino	patr.pra0ino	de		Urmutter
prapatrino	patr.pra0ino	en		foremother
prapatrino	patr.pra0ino	fr	aïeule (ancêtre féminin)	aïeule
prapatrino	patr.pra0ino	fr	ancêtre (féminin)	ancêtre
prapatrino	patr.pra0ino.GEN	de		Vorfahrin
prapatrino	patr.pra0ino.GEN	de		Urmutter
prapatrino	patr.pra0ino.GEN	en		foremother
prapatrino	patr.pra0ino.GEN	fr	aïeule (ancêtre féminin)	aïeule
prapatrino	patr.pra0ino.GEN	fr	ancêtre (féminin)	ancêtre
prapatro	patr.pra0o	de		Vorfahre
prapatro	patr.pra0o	de		Urvater
prapatro	patr.pra0o	en		forefather
prapatro	patr.pra0o	fr	aïeul (ancêtre masculin)	aïeul
prapatro	patr.pra0o	fr	ancêtre (masculin)	ancêtre
prapatro	patr.pra0o.GEN	de		Vorfahre
prapatro	patr.pra0o.GEN	de		Urvater
prapatro	patr.pra0o.GEN	en		forefather
prapatro	patr.pra0o.GEN	fr	aïeul (ancêtre masculin)	aïeul
prapatro	patr.pra0o.GEN	fr	ancêtre (masculin)	ancêtre
patriismo	patri.0ismo	de		Patriotismus
patriismo	patri.0ismo	de		Vaterlandsliebe
patriismo	patri.0ismo	en		patriotism
patriismo	patri.0ismo	fr		patriotisme
patriismo	patri.0ismo.MOR	de		Patriotismus
patriismo	patri.0ismo.MOR	de		Vaterlandsliebe
patriismo	patri.0ismo.MOR	en		patriotism
patriismo	patri.0ismo.MOR	fr		patriotisme
patrio	patri.0o	de		Vaterland
patrio	patri.0o	en		motherland
patrio	patri.0o	en		fatherland
patrio	patri.0o	fr		patrie
patrio	patri.0o.MOR	de		Vaterland
patrio	patri.0o.MOR	en		motherland
patrio	patri.0o.MOR	en		fatherland
patrio	patri.0o.MOR	fr		patrie
patriarko	patria.0o	de		Patriarch
patriarĥo	patria.0o	de		Patriarch
patriarko	patria.0o	en		patriarch
patriarĥo	patria.0o	en		patriarch
patriarko	patria.0o	fr		patriarche
patriarĥo	patria.0o	fr		patriarche
patriarko	patria.0o.KAT	de		Patriarch
patriarĥo	patria.0o.KAT	de		Patriarch
patriarko	patria.0o.KAT	en		patriarch
patriarĥo	patria.0o.KAT	en		patriarch
patriarko	patria.0o.KAT	fr		patriarche
patriarĥo	patria.0o.KAT	fr		patriarche
patriarko	patria.0o.ekleziestro	de		Patriarch
patriarĥo	patria.0o.ekleziestro	de		Patriarch
patriarko	patria.0o.ekleziestro	en		patriarch
patriarĥo	patria.0o.ekleziestro	en		patriarch
patriarko	patria.0o.ekleziestro	fr		patriarche
patriarĥo	patria.0o.ekleziestro	fr		patriarche
patriarko	patria.0o.maljunulo	de		Patriarch
patriarĥo	patria.0o.maljunulo	de		Patriarch
patriarko	patria.0o.maljunulo	en		patriarch
patriarĥo	patria.0o.maljunulo	en		patriarch
patriarko	patria.0o.maljunulo	fr		patriarche
patriarĥo	patria.0o.maljunulo	fr		patriarche
patriarko	patria.0o.prapatro	de		Patriarch
patriarĥo	patria.0o.prapatro	de		Patriarch
patriarko	patria.0o.prapatro	en		patriarch
patriarĥo	patria.0o.prapatro	en		patriarch
patriarko	patria.0o.prapatro	fr		patriarche
patriarĥo	patria.0o.prapatro	fr		patriarche
patrico	patric.0o	NULL	NULL	NULL
patrico	patric.0o.formo	de		Patrize
patrico	patric.0o.formo	de		Prägestock
patrico	patric.0o.formo	de		Stempel
patrico	patric.0o.formo	en		male mold
patrico	patric.0o.formo	en		male mould
patrico	patric.0o.formo	en		male part
patrico	patric.0o.formo	en		positive part
patrico	patric.0o.signo	de		Prägung
patrico	patric.0o.signo	de		Gepräge
patrico	patric.0o.signo	en		imprint
patrico	patric.0o.signo	en		embossing
patricio	patric1.0o	de		Patrizier
patricio	patric1.0o	en		patrician
patricio	patric1.0o	fr		patricien
Patriko	patrik.0o	de		Patrick
Patriko	patrik.0o	en		Patrick
Patriko	patrik.0o	fr		Patrick
Patriko	patrik.0o.NOM	de		Patrick
Patriko	patrik.0o.NOM	en		Patrick
Patriko	patrik.0o.NOM	fr		Patrick
patriotisma	patrio.0isma	de		patriotisch
patriotisma	patrio.0isma	de		vaterlandsliebend
patriotisma	patrio.0isma	en		patriotic
patriotisma	patrio.0isma	fr		patriotique
patriotisma	patrio.0isma.MOR	de		patriotisch
patriotisma	patrio.0isma.MOR	de		vaterlandsliebend
patriotisma	patrio.0isma.MOR	en		patriotic
patriotisma	patrio.0isma.MOR	fr		patriotique
patriotismo	patrio.0ismo	de		Patriotismus
patriotismo	patrio.0ismo	de		Vaterlandsliebe
patriotismo	patrio.0ismo	en		patriotism
patriotismo	patrio.0ismo	fr		patriotisme
patriotismo	patrio.0ismo.MOR	de		Patriotismus
patriotismo	patrio.0ismo.MOR	de		Vaterlandsliebe
patriotismo	patrio.0ismo.MOR	en		patriotism
patriotismo	patrio.0ismo.MOR	fr		patriotisme
patrioto	patrio.0o	de		Patriot
patrioto	patrio.0o	en		patriot
patrioto	patrio.0o	fr	patriote (subst.)	patriote
patrioto	patrio.0o.MOR	de		Patriot
patrioto	patrio.0o.MOR	en		patriot
patrioto	patrio.0o.MOR	fr	patriote (subst.)	patriote
patroli	patrol.0i	de		patrouillieren
patroli	patrol.0i	de	auf Streife sein	Streife
patroli	patrol.0i	en		patrol
patroli	patrol.0i	fr		patrouiller
patroli	patrol.0i.FIG	de		patrouillieren
patroli	patrol.0i.FIG	de	auf Streife sein	Streife
patroli	patrol.0i.FIG	en		patrol
patroli	patrol.0i.FIG	fr		patrouiller
patroli	patrol.0i.MIL	de		patrouillieren
patroli	patrol.0i.MIL	de	auf Streife sein	Streife
patroli	patrol.0i.MIL	en		patrol
patroli	patrol.0i.MIL	fr		patrouiller
patrolo	patrol.0o	NULL	NULL	NULL
patrolo	patrol.0o.MIL	de		Patrouille
patrolo	patrol.0o.MIL	de		Streife
patrolo	patrol.0o.MIL	en		patrol
patrolo	patrol.0o.PED	de	Sippe (Pfadfinder)	Sippe
patrolo	patrol.0o.PED	en		patrol
patrolo	patrol.0o.PED	fr		patrouille
patronado	patron.0ado	de		Schirmherrschaft
patronado	patron.0ado	en		sponsorship
patronado	patron.0ado	en		patronage
patronado	patron.0ado	fr		patronnage
patroneco	patron.0eco	de		Schirmherrschaft
patroneco	patron.0eco	en		sponsorship
patroneco	patron.0eco	en		patronage
patroneco	patron.0eco	fr	auspices (patronnage)	auspices
patroneco	patron.0eco	fr	protection (patronnage)	protection
patroneco	patron.0eco.ado	de		Schirmherrschaft
patroneco	patron.0eco.ado	en		sponsorship
patroneco	patron.0eco.ado	en		patronage
patroneco	patron.0eco.ado	fr	auspices (patronnage)	auspices
patroneco	patron.0eco.ado	fr	protection (patronnage)	protection
patroneco	patron.0eco.eco	de		Schirmherrschaft
patroneco	patron.0eco.eco	en		sponsorship
patroneco	patron.0eco.eco	en		patronage
patroneco	patron.0eco.eco	fr	auspices (patronnage)	auspices
patroneco	patron.0eco.eco	fr	protection (patronnage)	protection
patroni	patron.0i	de		protektionieren
patroni	patron.0i	en		be patron to
patroni	patron.0i	en		sponsor
patroni	patron.0i	en		patronize (be a patron)
patroni	patron.0i	en		patronise (be a patron)
patroni	patron.0i	fr		patronner
patroni	patron.0i	fr	soutenir (patronner)	soutenir
patrono	patron.0o	de		Patron
patrono	patron.0o	de		Schutzherr
patrono	patron.0o	de		Schirmherr
patrono	patron.0o	en		patron
patrono	patron.0o	en		sponsor
patrono	patron.0o	fr	patron (protecteur)	patron
patrono	patron.0o.HIS	de	Patron (Römer)	Patron
patrono	patron.0o.HIS	de		Patron
patrono	patron.0o.HIS	de		Schutzherr
patrono	patron.0o.HIS	de		Schirmherr
patrono	patron.0o.HIS	en		patron
patrono	patron.0o.HIS	en		sponsor
patrono	patron.0o.HIS	fr	patron (protecteur)	patron
patrono	patron.0o.KRI	de		Patron
patrono	patron.0o.KRI	de		Schutzheiliger
patrono	patron.0o.KRI	fr		saint patron
patrono	patron.0o.KRI	de		Patron
patrono	patron.0o.KRI	de		Schutzherr
patrono	patron.0o.KRI	de		Schirmherr
patrono	patron.0o.KRI	en		patron
patrono	patron.0o.KRI	en		sponsor
patrono	patron.0o.KRI	fr	patron (protecteur)	patron
patrono	patron.0o.protektanto	de		Patron
patrono	patron.0o.protektanto	de		Schutzherr
patrono	patron.0o.protektanto	fr		protecteur
patrono	patron.0o.protektanto	de		Patron
patrono	patron.0o.protektanto	de		Schutzherr
patrono	patron.0o.protektanto	de		Schirmherr
patrono	patron.0o.protektanto	en		patron
patrono	patron.0o.protektanto	en		sponsor
patrono	patron.0o.protektanto	fr	patron (protecteur)	patron
Paŭlino	pauxl.0ino	de		Paula
Paŭlino	pauxl.0ino	de		Pauline
Paŭlino	pauxl.0ino	en		Paula
Paŭlino	pauxl.0ino	en		Pauline
Paŭlino	pauxl.0ino	fr		Pauline
Paŭlino	pauxl.0ino	fr		Paula
Paŭlino	pauxl.0ino.NOM	de		Paula
Paŭlino	pauxl.0ino.NOM	de		Pauline
Paŭlino	pauxl.0ino.NOM	en		Paula
Paŭlino	pauxl.0ino.NOM	en		Pauline
Paŭlino	pauxl.0ino.NOM	fr		Pauline
Paŭlino	pauxl.0ino.NOM	fr		Paula
Paŭlo	pauxl.0o	de		Paul
Paolo	pauxl.0o	de		Paul
Paŭlo	pauxl.0o	de		Paulus
Paolo	pauxl.0o	de		Paulus
Paŭlo	pauxl.0o	en		Paul
Paolo	pauxl.0o	en		Paul
Paŭlo	pauxl.0o	fr		Paul
Paolo	pauxl.0o	fr		Paul
Paŭlo	pauxl.0o.NOM	de		Paul
Paolo	pauxl.0o.NOM	de		Paul
Paŭlo	pauxl.0o.NOM	de		Paulus
Paolo	pauxl.0o.NOM	de		Paulus
Paŭlo	pauxl.0o.NOM	en		Paul
Paolo	pauxl.0o.NOM	en		Paul
Paŭlo	pauxl.0o.NOM	fr		Paul
Paolo	pauxl.0o.NOM	fr		Paul
paŭlovnio	pauxlovni.0o	de		Paulownie
paŭlovnio	pauxlovni.0o	fr		paulownia
paŭlovnio	pauxlovni.0o.BOT	de		Paulownie
paŭlovnio	pauxlovni.0o.BOT	fr		paulownia
paŭperismo	pauxpe.0o	de		Pauperismus
paŭperismo	pauxpe.0o	de		Massenelend
paŭperismo	pauxpe.0o	de		Massenarmut
paŭperismo	pauxpe.0o	en		pauperism
paŭperismo	pauxpe.0o	en		beggary
paŭperismo	pauxpe.0o	fr		paupérisme
paŭsado	pauxs.0ado	de		Durchpausen
paŭsado	pauxs.0ado	fr	calque (imitation)	calque
paŭsado	pauxs.0ado.BELA	de		Durchpausen
paŭsado	pauxs.0ado.BELA	fr	calque (imitation)	calque
paŭsaĵo	pauxs.0ajxo	NULL	NULL	NULL
paŭso	pauxs.0ajxo	NULL	NULL	NULL
paŭsaĵo	pauxs.0ajxo.BELA	de		Pause
paŭso	pauxs.0ajxo.BELA	de		Pause
paŭsaĵo	pauxs.0ajxo.BELA	de		Kopie
paŭso	pauxs.0ajxo.BELA	de		Kopie
paŭsaĵo	pauxs.0ajxo.BELA	en		tracing
paŭso	pauxs.0ajxo.BELA	en		tracing
paŭsaĵo	pauxs.0ajxo.BELA	en		copy
paŭso	pauxs.0ajxo.BELA	en		copy
paŭsaĵo	pauxs.0ajxo.BELA	fr		décalque
paŭso	pauxs.0ajxo.BELA	fr		décalque
paŭsaĵo	pauxs.0ajxo.LIN	en		calque
paŭso	pauxs.0ajxo.LIN	en		calque
paŭsaĵo	pauxs.0ajxo.LIN	en		loan translation
paŭso	pauxs.0ajxo.LIN	en		loan translation
paŭsaĵo	pauxs.0ajxo.LIN	de		Abklatsch
paŭso	pauxs.0ajxo.LIN	de		Abklatsch
paŭsi	pauxs.0i	fr		calquer
paŭsi	pauxs.0i	fr		décalquer
paŭsi	pauxs.0i.BELA	de		durchpausen
paŭsi	pauxs.0i.BELA	en		trace
paŭsi	pauxs.0i.BELA	fr		calquer
paŭsi	pauxs.0i.BELA	fr		décalquer
paŭsi	pauxs.0i.imiti	en		slavishly reproduce
paŭsi	pauxs.0i.imiti	fr		calquer
paŭsi	pauxs.0i.imiti	fr		décalquer
paŭti	pauxt.0i	de	eine Schnute ziehen	Schnute
paŭti	pauxt.0i	en		pout
paŭti	pauxt.0i	fr	faire la moue	moue
paŭti	pauxt.0i	fr		bouder
paŭti	pauxt.0i.MIEN	de	eine Schnute ziehen	Schnute
