rabaĵo;rab.0ajxo;贓[zāng],赃[zāng]
miksrasulo;ras.miks0ulo;混雪儿[hùn xuě ér],混雪兒[hùn xuě ér]
purrasa;ras.pur0a;純種[chún zhǒng],纯种[chún zhǒng]
purrasa;ras.pur0a;有來歷[yǒu lái lì],有来历[yǒu lái lì]
purrasa;ras.pur0a;良种[liáng zhǒng],良種[liáng zhǒng]
purrasa;ras.pur0a;純種犬[chún zhǒng quǎn],纯种犬[chún zhǒng quǎn]
raspi;rasp.0i;銼[cuò],锉[cuò]
raspilo;rasp.0ilo;銼[cuò],锉[cuò]
raspilo;rasp.0ilo;擦子[cā zi]
rasti;rast.0i;筢[pá]
rastilo;rast.0ilo;筢[pá]
rastilo;rast.0ilo;耙[pá]
rastilo;rast.0ilo;草耙[cǎo pá]
rastri;rastr.0i;鋤地[chú dì],锄地[chú dì]
rastro;rastr.0o;鋙[wú],铻[wú]
rastrumero;rastr.0umero;像素[xiàng sù]
rastrumero;rastr.0umero;像元[xiàng yuán]
rastrumero;rastr.0umero;象素点[xiàng sù diǎn],象素點[xiàng sù diǎn]
rastrumo;rastr.0umo;位图[wèi tú],位圖[wèi tú]
rastrumo;rastr.0umo;柵格[shān gé],栅格[shān gé]
rastrumo;rastr.0umo;網屏[wǎng píng],网屏[wǎng píng]
rastrumo;rastr.0umo;光柵[guāng zhà],光栅[guāng zhà]
rato;rat.0o;老鼠[lǎo shǔ]
rato;rat.0o;大鼠[dà shǔ]
rato;rat.0o;大家鼠[dà jiā shǔ]
ratifiki;ratif.0i;批准[pī zhǔn]
raŭka;rauxk.0a;嗄[shà]
raŭka;rauxk.0a;嘶哑[sī yǎ],嘶啞[sī yǎ]
raŭka;rauxk.0a;沙哑[shā yǎ],沙啞[shā yǎ]
raŭka;rauxk.0a;粗哑[cū yǎ],粗啞[cū yǎ]
raŭka;rauxk.0a;嘶哑声[sī yǎ shēng],嘶啞聲[sī yǎ shēng]
raŭka;rauxk.0a;乾澀[gān sè],干涩[gān sè]
raŭka;rauxk.0a;岔調[chà diào],岔调[chà diào]
raŭndo;rauxnd.0o;回合[huí hé]
raŭpo;rauxp.0o;毛毛虫[máo mao chóng],毛毛蟲[máo mao chóng]
raŭpo;rauxp.0o;蠋[zhú]
raŭpo;rauxp.0o;蛓[cì]
raŭpaĵo;rauxp.0veturilo;履带车辆[lǚ dài chē liàng],履帶車輛[lǚ dài chē liàng]
silkraŭpo;rauxp.silk0o;蟓[xiàng]
silkraŭpo;rauxp.silk0o;蠺[cán]
silkraŭpo;rauxp.silk0o;桑蚕[sāng cán],桑蠶[sāng cán]
raŭto;rauxt.0o;路線[lù xiàn],路线[lù xiàn]
raŭto;rauxt.0o;径路[jìng lù],徑路[jìng lù]
ravino;ravin.0o;巇[xī]
ravino;ravin.0o;深谷[shēn gǔ]
ravino;ravin.0o;山谷[shān gǔ]
ravino;ravin.0o;峡谷[xiá gǔ],峽谷[xiá gǔ]
ravino;ravin.0o;崖谷[yá gǔ]
ravino;ravin.0o;涧壑[jiàn hè],澗壑[jiàn hè]
ravino;ravin.0o;隘谷[ài gǔ]
ravioloj;raviol.0oj;德国馄饨[dé guó hún dun],德國餛飩[dé guó hún dun]
ravioloj;raviol.0oj;超大面饺[chāo dà miàn jiǎo],超大麵餃[chāo dà miàn jiǎo]
ravioloj;raviol.0oj;意大利餃[yì dà lì jiǎo],意大利饺[yì dà lì jiǎo]
ravioloj;raviol.0oj;肉餡的意大利餛飩[ròu xiàn de yì dà lì hún dun],肉馅的意大利馄饨[ròu xiàn de yì dà lì hún dun]
ravioloj;raviol.0oj;飩[tún],饨[tún]
ravioloj;raviol.0oj;餛[hún],馄[hún]
razi;raz.0i;剃[tì],薙[tì]
razi;raz.0i;刮毛[guā máo]
razi;raz.0i;剃[tì]
razi;raz.0i;刮[guā]
razi;raz.0i;刮胡[guā hú],刮鬍[guā hú]
razi;raz.0i;剃毛[tì máo]
razi;raz.0i;剃胡子[tì hú zi],剃鬍子[tì hú zi]
razilo;raz.0ilo;电动刮胡刀[diàn dòng guā hú dāo],電動刮鬍刀[diàn dòng guā hú dāo]
razilo;raz.0ilo;电动刮胡刀[diàn dòng guā hú dāo],電動颳鬍刀[diàn dòng guā hú dāo]
razilo;raz.0ilo;刮胡刀[guā hú dāo],刮鬍刀[guā hú dāo]
razilo;raz.0ilo;刮胡刀[guā hú dāo],颳鬍刀[guā hú dāo]
razilo;raz.0ilo;剃刀[tì dāo]
razisto;raz.0isto;理发师[lǐ fà shī],理髮師[lǐ fà shī]
razeno;razen.0o;草坪[cǎo píng]
ree;re.0e;又一次[yòu yī cì]
ree;re.0e;再三[zài sān]
ree;re.0e;再一次[zài yī cì]
ree;re.0e;再次[zài cì]
reen;re.0en;回过来[huí guò lái],回過來[huí guò lái]
reen;re.0en;返[fǎn]
reen;re.0en;退回前面[tuì huí qián miàn]
reen;re.0en;上一步[shàng yī bù]
reakcia;reakci.0a.POL;反动[fǎn dòng],反動[fǎn dòng]
reakciilo;reakci.0ilo;試劑[shì jì],试剂[shì jì]
reakcio;reakci.0o.KEM;反应[fǎn yìng],反應[fǎn yìng]
reakcio;reakci.0o.KEM;化学反应[huà xué fǎn yìng],化學反應[huà xué fǎn yìng]
reakcio;reakci.0o.KOMUNE;感应[gǎn yìng],感應[gǎn yìng]
reakcio;reakci.0o.POL;反动派[fǎn dòng pài],反動派[fǎn dòng pài]
reakcio;reakci.0o.nuklea;核反应[hé fǎn yìng],核反應[hé fǎn yìng]
ĉenreakcio;reakci.cxen0o;连锁反应[lián suǒ fǎn yìng],連鎖反應[lián suǒ fǎn yìng]
ĉenreakcio;reakci.cxen0o;鏈式反應[liàn shì fǎn yìng],链式反应[liàn shì fǎn yìng]
ĉenreakcio;reakci.cxen0o;核连锁反应[hé lián suǒ fǎn yìng],核連鎖反應[hé lián suǒ fǎn yìng]
reaktoro;reaktor.0o;反应炉[fǎn yìng lú],反應爐[fǎn yìng lú]
reaktoro;reaktor.0o.AVI;引擎[yǐn qíng]
reala;real.0a;实在[shí zài],實在[shí zài]
reala;real.0a;切实[qiè shí],切實[qiè shí]
reala;real.0a;果真[guǒ zhēn]
reala;real.0a;真实[zhēn shí],真實[zhēn shí]
reala;real.0a;确[què],確[què]
realaĵo;real.0ajxo;实际情况[shí jì qíng kuàng],實際情況[shí jì qíng kuàng]
realigi;real.0igi;做到[zuò dào]
realigi;real.0igi;变现[biàn xiàn],變現[biàn xiàn]
realigi;real.0igi;实现[shí xiàn],實現[shí xiàn]
realiĝi;real.0igxi;应验[yìng yàn],應驗[yìng yàn]
realiĝi;real.0igxi;成真[chéng zhēn]
realisma;real.0isma;写实[xiě shí],寫實[xiě shí]
realisma;real.0isma;现实主义[xiàn shí zhǔ yì],現實主義[xiàn shí zhǔ yì]
realismo;real.0ismo;现实主义[xiàn shí zhǔ yì],現實主義[xiàn shí zhǔ yì]
realo;real.0o.ekzisto;现实[xiàn shí],現實[xiàn shí]
realo;real.0o.ekzisto;真事[zhēn shì]
realo;real.0o.ekzisto;实际[shí jì],實際[shí jì]
realo;real.0o.ekzisto;真实性[zhēn shí xìng],真實性[zhēn shí xìng]
realo;real.0o.ekzisto;真际[zhēn jì],真際[zhēn jì]
malreala;real.ne0a;伋[jí]
malreala;real.ne0a;虚无缥缈[xū wú piǎo miǎo],虛無縹緲[xū wú piǎo miǎo]
malreala;real.ne0a;虚无飘渺[xū wú piāo miǎo],虛無飄渺[xū wú piāo miǎo]
recenzi;recenz.0i;評介[píng jiè],评介[píng jiè]
recenzi;recenz.0i;評論[píng lùn],评论[píng lùn]
recenzi;recenz.0i;批点[pī diǎn],批點[pī diǎn]
recenzisto;recenz.0isto;評論家[píng lùn jiā],评论家[píng lùn jiā]
recenzo;recenz.0o;評論[píng lùn],评论[píng lùn]
recenzo;recenz.0o;审读[shěn dú],審讀[shěn dú]
recepto;recept.0o.KUI;食譜[shí pǔ],食谱[shí pǔ]
recepto;recept.0o.KUI;配方[pèi fāng]
recepto;recept.0o.MED;药方[yào fāng],藥方[yào fāng]
recepto;recept.0o.MED;方剂[fāng jì],方劑[fāng jì]
recesio;recesi.0o;衰退[shuāi tuì]
recesio;recesi.0o;經濟衰退[jīng jì shuāi tuì],经济衰退[jīng jì shuāi tuì]
recidivi;recidiv.0i;复发[fù fā],復發[fù fā]
recidivo;recidiv.0o;反复[fǎn fù],反復[fǎn fù]
recidivo;recidiv.0o;倒退[dǎo tuì]
Recifo;recif.0o;累西腓[lèi xī féi],纍西腓[lèi xī féi]
Recifo;recif.0o;累西腓[lèi xī féi]
recidivo;;反覆|反复[fǎn fù]
reciproke;recipr.0e;互相[hù xiāng]
reciproke;recipr.0e;互[hù]
reciproke;recipr.0e;相互[xiāng hù]
reciproki;recipr.0i;往复[wǎng fù],往復[wǎng fù]
reciproki;recipr.0i;互换[hù huàn],互換[hù huàn]
reciproki;recipr.0i;还报[huán bào],還報[huán bào]
reciprokeco;recipr.0o;互惠[hù huì]
reciprokeco;recipr.0o;互惠主义[hù huì zhǔ yì],互惠主義[hù huì zhǔ yì]
reciprokeco;recipr.0o;相互作用[xiāng hù zuò yòng]
reciprokeco;recipr.0o;相互性[xiāng hù xìng]
reciprokeco;recipr.0o;相关性[xiāng guān xìng],相關性[xiāng guān xìng]
reciti;recit.0i;背誦[bèi sòng],背诵[bèi sòng]
reciti;recit.0i;唪[fěng]
recitado;recit.0o;朗诵[lǎng sòng],朗誦[lǎng sòng]
recitativo;recita.0o;白口[bái kǒu]
recitativo;recita.0o;声腔[shēng qiāng],聲腔[shēng qiāng]
redakcio;redakc.0o.ejo;編輯室[biān jí shì],编辑室[biān jí shì]
redakcio;redakc.0o.versio;版本[bǎn běn]
redaktejo;redakt.0ejo;編輯室[biān jí shì],编辑室[biān jí shì]
redakti;;編輯[biān jí],编辑[biān jí]
redakti;;删改[shān gǎi],刪改[shān gǎi]
redakti;;編輯[biān jí],编辑[biān jí]
redaktisto;redakt.0isto;編者[biān zhě],编者[biān zhě]
redaktisto;redakt.0isto;編輯[biān jí],编辑[biān jí]
redaktoro;redakt1.0o;編輯[biān jí],编辑[biān jí]
redaktoro;redakt1.0o;編者[biān zhě],编者[biān zhě]
ĉefredaktoro;redakt1.cxef0o;主編[zhǔ biān],主编[zhǔ biān]
ĉefredaktoro;redakt1.cxef0o;总编辑[zǒng biān jí],總編輯[zǒng biān jí]
reduktebla;redukt.0ebla;次序关系[cì xù guān xi],次序關系[cì xù guān xi]
redukti;redukt.0i;减[jiǎn],減[jiǎn]
redukti;redukt.0i;脧[juān]
redukti;redukt.0i;紧缩[jǐn suō],緊縮[jǐn suō]
redukti;redukt.0i;削[xuē]
redukti;redukt.0i;削减[xuē jiǎn],削減[xuē jiǎn]
redukti;redukt.0i;减削[jiǎn xuē],減削[jiǎn xuē]
redukti;redukt.0i;减小[jiǎn xiǎo],減小[jiǎn xiǎo]
redukti;redukt.0i;减除[jiǎn chú],減除[jiǎn chú]
redukti;redukt.0i;精减[jīng jiǎn],精減[jīng jiǎn]
redukti;redukt.0i;精简[jīng jiǎn],精簡[jīng jiǎn]
redukti;redukt.0i;縮減[suō jiǎn],缩减[suō jiǎn]
redukti;redukt.0i;裁减[cái jiǎn],裁減[cái jiǎn]
redukti;redukt.0i;降低[jiàng dī]
redukti;redukt.0i;减低[jiǎn dī],減低[jiǎn dī]
redukto al absurdo;redukt.0oalabsurdo;反證法[fǎn zhèng fǎ],反证法[fǎn zhèng fǎ]
redunda;redund.0a;冗余[rǒng yú],冗餘[rǒng yú]
redunda;redund.0a;冗[rǒng]
redunda;redund.0a;冗[rǒng],宂[rǒng]
redunda;;贅[zhuì],赘[zhuì]
redundo;redund.0o;冗余[rǒng yú],冗餘[rǒng yú]
redundo;redund.0o;过多[guò duō],過多[guò duō]
reela;reel.0a;实[shí],實[shí]
reelo;reel.0o.MAT;实数[shí shù],實數[shí shù]
referaĵo;refer.0ajxo;論文[lùn wén],论文[lùn wén]
referaĵo;refer.0ajxo;報告[bào gào],报告[bào gào]
referi;refer.0i;介紹性講演[jiè shào xìng jiǎng yǎn],介绍性讲演[jiè shào xìng jiǎng yǎn]
referi;refer.0i;唪[fěng]
referato;refera.0o;彙報[huì bào],汇报[huì bào]
referato;refera.0o;報告[bào gào],报告[bào gào]
referenci;refere.0i;指称[zhǐ chēng],指稱[zhǐ chēng]
referenco;refere.0o.bibliografia;指称[zhǐ chēng],指稱[zhǐ chēng]
referenco;refere.0o.bibliografia;引征[yǐn zhēng],引徵[yǐn zhēng]
referenco;refere.0o.komparilo;涉及[shè jí]
referenco;refere.0o.komparilo;商品样本[shāng pǐn yàng běn],商品樣本[shāng pǐn yàng běn]
referenco;refere.0o.komparilo;为准[wéi zhǔn],為準[wéi zhǔn]
referenco;refere.0o.komparilo;典[diǎn]
referenco;refere.0o.rekomendo;推荐[tuī jiàn],推薦[tuī jiàn]
referenco;refere.0o.rekomendo;参考[cān kǎo],參考[cān kǎo]
referenco;refere.0o.rekomendo;推荐信[tuī jiàn xìn],推薦信[tuī jiàn xìn]
referendumo;refere1.0o;全民投票[quán mín tóu piào]
referendumo;refere1.0o;公民投票[gōng mín tóu piào]
referendumo;refere1.0o;公投[gōng tóu]
referendumo;refere1.0o;全民公决[quán mín gōng jué],全民公決[quán mín gōng jué]
referendumo;refere1.0o;公民投票[gōng mín tuó piào]
referendumo;refere1.0o;全民公决公投[quán mín gōng jué gōng tóu],全民公決公投[quán mín gōng jué gōng tóu]
reflekti;reflek.0i;反映[fǎn yìng]
reflekti;reflek.0i;反射光[fǎn shè guāng]
reflekti;reflek.0i;反射[fǎn shè]
reflekti;reflek.0i;映[yìng]
reflekti;reflek.0i;映照[yìng zhào]
reflektilo;reflek.0ilo;反射鏡[fǎn shè jìng],反射镜[fǎn shè jìng]
reflektilo;reflek.0ilo;反射体[fǎn shè tǐ],反射體[fǎn shè tǐ]
reflekto;reflek.0o.FIG;鏡像[jìng xiàng],镜像[jìng xiàng]
reflekto;reflek.0o.FIG;反射作用[fǎn shè zuò yòng]
refleksiva;reflek1.0a.GRA;自反[zì fǎn]
refleksivo;;反身代詞[fǎn shēn dài cí],反身代词[fǎn shēn dài cí]
reflekso;refleks.0o;反射动作[fǎn shè dòng zuò],反射動作[fǎn shè dòng zuò]
refleksologio;refleksologi.0o;反射区治疗[fǎn shè qū zhì liáo],反射區治療[fǎn shè qū zhì liáo]
reflektoro;reflektor.0o;追光灯[zhuī guāng dēng],追光燈[zhuī guāng dēng]
reflektoro;reflektor.0o;前灯[qián dēng],前燈[qián dēng]
reflektoro;reflektor.0o;聚光灯[jù guāng dēng],聚光燈[jù guāng dēng]
Reformacio;reform.0o;宗教改革[zōng jiào gǎi gé]
Reformacio;reform.0o;宗教改革与更正教[zōng jiào gǎi gé yǔ gēng zhēng jiào],宗教改革與更正教[zōng jiào gǎi gé yǔ gēng zhēng jiào]
refrakti;refrak.0i;折射[zhé shè]
refrakto;refrak.0o;折射[zhé shè]
refreno;refren.0o;副歌[fù gē]
refuti;refut.0i;反駁[fǎn bó],反驳[fǎn bó]
refuti;refut.0i;駁斥[bó chì],驳斥[bó chì]
refuti;refut.0i;回駁[huí bó],回驳[huí bó]
refuto;refut.0o;反演[fǎn yǎn]
refuto;refut.0o;駁住[bó zhù],驳住[bó zhù]
nerefutebla;refut.ne0ebla;不能否定[bù néng fǒu dìng]
regado;reg.0ado;統治[tǒng zhì],统治[tǒng zhì]
regi;reg.0i;乂[yì]
regi;reg.0i;宰[zǎi]
regi;reg.0i;治[zhì]
regi;reg.0i;統治[tǒng zhì],统治[tǒng zhì]
regi;reg.0i;王[wàng]
regi;reg.0i;宰制[zǎi zhì]
regi;reg.0i;能够自我控制[néng gòu zì wǒ kòng zhì],能夠自我控制[néng gòu zì wǒ kòng zhì]
registaro;reg.0istaro;政府[zhèng fǔ]
registaro;reg.0istaro;內閣[nèi gé],内阁[nèi gé]
registo;reg.0isto;官吏[guān lì]
registo;reg.0isto;官员[guān yuán],官員[guān yuán]
registo;reg.0isto;政府官员[zhèng fǔ guān yuán],政府官員[zhèng fǔ guān yuán]
memrego;reg.mem0ado.POL;自治[zì zhì]
memrego;reg.mem0ado.POL;自主[zì zhǔ]
memrego;reg.mem0ado.POL;自治权[zì zhì quán],自治權[zì zhì quán]
memrego;reg.mem0ado.POL;自决[zì jué],自決[zì jué]
memrego;reg.mem0ado.PSI;自我控制[zì wǒ kòng zhì]
memrego;reg.mem0ado.PSI;涵养[hán yǎng],涵養[hán yǎng]
memrego;reg.mem0ado.PSI;自律[zì lǜ]
memrego;reg.mem0ado.PSI;自我检验[zì wǒ jiǎn yàn],自我檢驗[zì wǒ jiǎn yàn]
memrego;reg.mem0ado.PSI;自控[zì kòng]
memrego;reg.mem0ado.PSI;自我調節[zì wǒ tiáo jié],自我调节[zì wǒ tiáo jié]
memrego;reg.mem0ado.TEK;自动化装置[zì dòng huà zhuāng zhì],自動化裝置[zì dòng huà zhuāng zhì]
memrego;reg.mem0ado.TEK;自动操作[zì dòng cāo zuò],自動操作[zì dòng cāo zuò]
sinrego;reg.sin0ado;自我控制[zì wǒ kòng zhì]
sinrego;reg.sin0ado;涵养[hán yǎng],涵養[hán yǎng]
superregi;reg.super0i;佔優勢[zhàn yòu shì],占优势[zhàn yòu shì]
superregi;reg.super0i;主宰[zhǔ zǎi]
superregi;reg.super0i;佔多數[zhàn duō shù],占多数[zhàn duō shù]
regalaĵo;regal.0ajxo;呈交[chéng jiāo]
regalaĵo;regal.0ajxo.nutrajxo;正餐[zhèng cān]
regali;regal.0i;宴[yàn],醼[yàn]
regali;regal.0i;飨[xiǎng],饗[xiǎng]
regalo;regal.0o;好客[hào kè]
regeo;rege.0o;雷鬼[léi guǐ]
regeo;rege.0o;雷盖配乐歌曲[léi gài pèi lè gē qǔ],雷蓋配樂歌曲[léi gài pèi lè gē qǔ]
regento;regent.0o;摄政王[shè zhèng wáng],攝政王[shè zhèng wáng]
regento;regent.0o;主宰者[zhǔ zǎi zhě]
regento;regent.0o;摄政员[shè zhèng yuán],攝政員[shè zhèng yuán]
regio;regi.0o;管理局[guǎn lǐ jú]
regimento;regime.0o;团[tuán],團[tuán]
regiona;region.0a;地区[dì qū],地區[dì qū]
regiona;region.0a;地方[dì fāng]
regiona;region.0a;区域性[qū yù xìng],區域性[qū yù xìng]
regiono;region.0o;地方[dì fāng]
regiono;region.0o;地区[dì qū],地區[dì qū]
regiono;region.0o;一带[yī dài],一帶[yī dài]
regiono;region.0o;区[qū],區[qū]
regiono;region.0o;区域[qū yù],區域[qū yù]
regiono;region.0o;地域[dì yù]
regiono;region.0o;域[yù]
retregiono;region.ret0o;域[yù]
registrado;regist.0ado;录音[lù yīn],錄音[lù yīn]
registrado;regist.0ado;登記掛號[dēng jì guà hào],登记挂号[dēng jì guà hào]
registrado;regist.0ado;讀數掛號[dú shù guà hào],读数挂号[dú shù guà hào]
registrado;regist.0ado;視頻錄象[shì pín lù xiàng],视频录象[shì pín lù xiàng]
registraĵo;regist.0ajxo;視頻錄象[shì pín lù xiàng],视频录象[shì pín lù xiàng]
registri;regist.0i;記錄[jì lù],记录[jì lù]
registri;regist.0i;录[lù],錄[lù]
registri;regist.0i;录音[lù yīn],錄音[lù yīn]
registri;regist.0i;記事[jì shì],记事[jì shì]
registri;regist.0i;注册[zhù cè],註冊[zhù cè]
registri;regist.0i;記載[jì zǎi],记载[jì zǎi]
registri;regist.0i;載入[zǎi rù],载入[zǎi rù]
enregistriĝi;regist.0igxi;報名[bào míng],报名[bào míng]
enregistriĝi;regist.0igxi;值机[zhí jī],值機[zhí jī]
registro;regist.0o;名冊[míng cè],名册[míng cè]
registro;regist.0o;簿[bù]
registro;regist.0o;音域[yīn yù]
registro;regist.0o;簿冊[bù cè],簿册[bù cè]
registrolibro;regist.0olibro;簿[bù]
registrolibro;regist.0olibro;索引[suǒ yǐn]
registrolibro;regist.0olibro;目录[mù lù],目錄[mù lù]
sonregistrilo;regist.son0ilo;記錄器[jì lù qì],记录器[jì lù qì]
sonregistrilo;regist.son0ilo;录音机[lù yīn jī],錄音機[lù yīn jī]
terenregistro;regist.teren0o;簿冊[bù cè],簿册[bù cè]
terenregistro;regist.teren0o;地籍[dì jí]
videoregistrilo;regist.vide0ilo;摄影机[shè yǐng jī],攝影機[shè yǐng jī]
videoregistrilo;regist.vide0ilo;录像机[lù xiàng jī],錄像機[lù xiàng jī]
videoregistrilo;regist.vide0ilo;录影机[lù yǐng jī],錄影機[lù yǐng jī]
reglamento;reglament.0o;規則[guī zé],规则[guī zé]
reglamento;reglament.0o;規程[guī chéng],规程[guī chéng]
reglamento;reglament.0o;細則[xì zé],细则[xì zé]
reglamento;reglament.0o;守则[shǒu zé],守則[shǒu zé]
reglamento;reglament.0o;程[chéng]
reglamento;reglament.0o;指导路线[zhǐ dǎo lù xiàn],指導路線[zhǐ dǎo lù xiàn]
regnestro;regn.0estro;君[jūn]
regnestro;regn.0estro;君王[jūn wáng]
regnestro;regn.0estro;帝王[dì wáng]
regno;regn.0o;王国[wáng guó],王國[wáng guó]
regresi;regres.0i.malprogresi;走軟[zǒu ruǎn],走软[zǒu ruǎn]
regresi;regres.0i.malprogresi;退步[tuì bù]
regresi;regres.0i.malprogresi;重犯[zhòng fàn]
regreso;regres.0o;衰退[shuāi tuì]
regreso;regres.0o;倒退[dǎo tuì]
regreso;regres.0o;后退[hòu tuì],後退[hòu tuì]
regula;regul.0a;定期[dìng qī]
regula;regul.0a;有序[yǒu xù]
regula;regul.0a;正規[zhèng guī],正规[zhèng guī]
regula;regul.0a;規律性[guī lù: xìng],规律性[guī lù: xìng]
regularo;regul.0aro;章程[zhāng chéng]
regularo;regul.0aro;規程[guī chéng],规程[guī chéng]
regularo;regul.0aro;守则[shǒu zé],守則[shǒu zé]
reguleco;regul.0eco;周期性[zhōu qī xìng],週期性[zhōu qī xìng]
reguleco;regul.0eco;規則化[guī zé huà],规则化[guī zé huà]
reguleco;regul.0eco;規則性[guī zé xìng],规则性[guī zé xìng]
regulesprimo;regul.0esprimo;正则表达式[zhèng zé biǎo dá shì],正則表達式[zhèng zé biǎo dá shì]
reguli;regul.0igi;調節[tiáo jié],调节[tiáo jié]
reguli;regul.0igi;規管[guī guǎn],规管[guī guǎn]
reguli;regul.0igi;乂[ài]
reguli;regul.0igi;撙[zǔn]
regulo;regul.0o;規則[guī zé],规则[guī zé]
regulo;regul.0o;程[chéng]
regulo;regul.0o;規章[guī zhāng],规章[guī zhāng]
regulo;regul.0o;法则[fǎ zé],法則[fǎ zé]
regulo;regul.0o;法式[fǎ shì]
regulo;regul.0o;则[zé],則[zé]
laŭregula;regul.laux0a;正規[zhèng guī],正规[zhèng guī]
laŭregula;regul.laux0a;整洁干净[zhěng jié gān jìng],整潔乾淨[zhěng jié gān jìng]
senregula;regul.mal0a;不規範[bù guī fàn],不规范[bù guī fàn]
senregula;regul.mal0a;儳[chàn]
senregula;regul.mal0a;媮[tōu]
senregula;regul.mal0a;非正常[fēi zhèng cháng]
trafikregularo;regul.trafik0aro;安全法規[ān quán fǎ guī],安全法规[ān quán fǎ guī]
trafikregularo;regul.trafik0aro;道路交通規則[dào lù jiāo tōng guī zé],道路交通规则[dào lù jiāo tōng guī zé]
trafikregularo;regul.trafik0aro;交通法規[jiāo tōng fǎ guī],交通法规[jiāo tōng fǎ guī]
regulatoro;regula.0o;校准器[jiào zhǔn qì],校準器[jiào zhǔn qì]
regulatoro;regula.0o;稳定器[wěn dìng qì],穩定器[wěn dìng qì]
reĝa;regx.0a;皇家[huáng jiā]
reĝa;regx.0a;象王[xiàng wáng]
reĝa;regx.0a;君王[jūn wáng]
reĝa;regx.0a;威严[wēi yán],威嚴[wēi yán]
reĝeco;;主权[zhǔ quán],主權[zhǔ quán]
reĝi;regx.0i;王[wàng]
reĝidino;regx.0idino;公主[gōng zhǔ]
reĝido;regx.0ido;王子[wáng zǐ]
reĝino;regx.0ino;王后[wáng hòu]
reĝino;regx.0ino;女王[nǔ: wáng]
reĝujo;regx.0lando;王国[wáng guó],王國[wáng guó]
reĝujo;regx.0lando;界別[jiè bié],界别[jiè bié]
reĝimo;regxim.0o;政体[zhèng tǐ],政體[zhèng tǐ]
reĝimo;regxim.0o;政柄[zhèng bǐng]
reĝimo;regxim.0o;政权[zhèng quán],政權[zhèng quán]
reĝisoro;regxis.0o;导演[dǎo yǎn],導演[dǎo yǎn]
reĝisoro;regxis.0o;电影导演[diàn yǐng dǎo yǎn],電影導演[diàn yǐng dǎo yǎn]
reĝistro;regxistr.0o;寄存器[jì cún qì]
reĝistro;regxistr.0o;計數器[jì shù qì],计数器[jì shù qì]
rehabiliti;rehabilit.0i;起用[qǐ yòng]
rehabiliti;rehabilit.0i;放回原位[fàng huí yuán wèi]
rehabiliti;rehabilit.0i;重新設置[chóng xīn shè zhì],重新设置[chóng xīn shè zhì]
rehabiliti;rehabilit.0i;平反[píng fǎn]
rehabiliti;rehabilit.0i;使恢复名誉[shǐ huī fù míng yù],使恢復名譽[shǐ huī fù míng yù]
rehabiliti;rehabilit.0i;恢复[huī fù],恢復[huī fù]
Rejkjaviko;rejkjavik.0o;雷克雅未克[Léi kè yǎ wèi kè]
Rejkjaviko;rejkjavik.0o;雷克雅維克[Léi kè yǎ wéi kè],雷克雅维克[Léi kè yǎ wéi kè]
Remso;rejms.0o;兰斯[Lán sī],蘭斯[Lán sī]
Rejno;rejn.R0o;莱茵[lái yīn],萊茵[lái yīn]
Rejno;rejn.R0o;莱茵河[Lái yīn Hé],萊茵河[Lái yīn Hé]
Rejnland-Palatinato;rejnlandp.R0o;莱茵兰‐法尔茨州[lái yīn lán ‐ fǎ ěr cí zhōu],萊茵蘭‐法爾茨州[lái yīn lán ‐ fǎ ěr cí zhōu]
Rejnland-Palatinato;rejnlandp.R0o;莱因普法尔兹州[lái yīn pǔ fǎ ěr zī zhōu],萊因普法爾茲州[lái yīn pǔ fǎ ěr zī zhōu]
reko;rek.0o;杠[gàng],槓[gàng]
reklami;reklam.0i;做广告[zuò guǎng gào],做廣告[zuò guǎng gào]
reklami;reklam.0i;推銷[tuī xiāo],推销[tuī xiāo]
reklamilo;reklam.0ilo;中間物[zhōng jiàn wù],中间物[zhōng jiàn wù]
reklamilo;reklam.0ilo;大众传媒[dà zhòng chuán méi],大眾傳媒[dà zhòng chuán méi]
reklamilo;reklam.0ilo;媒介物[méi jiè wù]
reklamilo;reklam.0ilo;广告媒介[guǎng gào méi jiè],廣告媒介[guǎng gào méi jiè]
reklamilo;reklam.0ilo;通訊媒體[tōng xùn méi tǐ],通讯媒体[tōng xùn méi tǐ]
reklamilo;reklam.0ilo;灵媒[líng méi],靈媒[líng méi]
reklamo;reklam.0o;广告[guǎng gào],廣告[guǎng gào]
reklamo;reklam.0o;平面广告[píng miàn guǎng gào],平面廣告[píng miàn guǎng gào]
reklamacii;reklamaci.0i;索賠[suǒ péi],索赔[suǒ péi]
reklamacio;reklamaci.0o;索賠[suǒ péi],索赔[suǒ péi]
reklamacio;reklamaci.0o;投訴[tóu sù],投诉[tóu sù]
rekomendi;rekome.0i;推荐[tuī jiàn],推薦[tuī jiàn]
rekomendi;rekome.0i;荐[jiàn],薦[jiàn]
rekomendi;rekome.0i;建議[jiàn yì],建议[jiàn yì]
rekomendi;rekome.0i;推介[tuī jiè]
rekomendi;rekome.0i;先容[xiān róng]
rekomendo;rekome.0o;建議[jiàn yì],建议[jiàn yì]
rekomendo;rekome.0o;推荐[tuī jiàn],推薦[tuī jiàn]
malrekomendi;rekome.mal0i;劝阻[quàn zǔ],勸阻[quàn zǔ]
rekompenci;rekomp.0i.io;奖[jiǎng],獎[jiǎng]
